dataset,image_id,filepath,source_split,partition,source_group_id
coco-rem,000000507927,/home/felix/fiftyone/coco-2017/train/data/000000507927.jpg,train,calibration,000000507927
coco-rem,000000361924,/home/felix/fiftyone/coco-2017/train/data/000000361924.jpg,train,calibration,000000361924
coco-rem,000000577821,/home/felix/fiftyone/coco-2017/train/data/000000577821.jpg,train,calibration,000000577821
coco-rem,000000545679,/home/felix/fiftyone/coco-2017/train/data/000000545679.jpg,train,calibration,000000545679
coco-rem,000000316269,/home/felix/fiftyone/coco-2017/train/data/000000316269.jpg,train,calibration,000000316269
coco-rem,000000492435,/home/felix/fiftyone/coco-2017/train/data/000000492435.jpg,train,calibration,000000492435
coco-rem,000000437994,/home/felix/fiftyone/coco-2017/train/data/000000437994.jpg,train,calibration,000000437994
coco-rem,000000468428,/home/felix/fiftyone/coco-2017/train/data/000000468428.jpg,train,calibration,000000468428
coco-rem,000000432019,/home/felix/fiftyone/coco-2017/train/data/000000432019.jpg,train,calibration,000000432019
coco-rem,000000237263,/home/felix/fiftyone/coco-2017/train/data/000000237263.jpg,train,calibration,000000237263
coco-rem,000000434183,/home/felix/fiftyone/coco-2017/train/data/000000434183.jpg,train,calibration,000000434183
coco-rem,000000579947,/home/felix/fiftyone/coco-2017/train/data/000000579947.jpg,train,calibration,000000579947
coco-rem,000000343954,/home/felix/fiftyone/coco-2017/train/data/000000343954.jpg,train,calibration,000000343954
coco-rem,000000556278,/home/felix/fiftyone/coco-2017/train/data/000000556278.jpg,train,calibration,000000556278
coco-rem,000000171970,/home/felix/fiftyone/coco-2017/train/data/000000171970.jpg,train,calibration,000000171970
coco-rem,000000377809,/home/felix/fiftyone/coco-2017/train/data/000000377809.jpg,train,calibration,000000377809
coco-rem,000000478880,/home/felix/fiftyone/coco-2017/train/data/000000478880.jpg,train,calibration,000000478880
coco-rem,000000476331,/home/felix/fiftyone/coco-2017/train/data/000000476331.jpg,train,calibration,000000476331
coco-rem,000000031653,/home/felix/fiftyone/coco-2017/train/data/000000031653.jpg,train,calibration,000000031653
coco-rem,000000048289,/home/felix/fiftyone/coco-2017/train/data/000000048289.jpg,train,calibration,000000048289
coco-rem,000000264599,/home/felix/fiftyone/coco-2017/train/data/000000264599.jpg,train,calibration,000000264599
coco-rem,000000073235,/home/felix/fiftyone/coco-2017/train/data/000000073235.jpg,train,calibration,000000073235
coco-rem,000000135348,/home/felix/fiftyone/coco-2017/train/data/000000135348.jpg,train,calibration,000000135348
coco-rem,000000225337,/home/felix/fiftyone/coco-2017/train/data/000000225337.jpg,train,calibration,000000225337
coco-rem,000000162682,/home/felix/fiftyone/coco-2017/train/data/000000162682.jpg,train,calibration,000000162682
