dataset,image_id,filepath,source_split,partition,source_group_id
coco-rem,000000000139,/home/felix/fiftyone/coco-2017/validation/data/000000000139.jpg,validation,locked_confirmation,000000000139
coco-rem,000000000285,/home/felix/fiftyone/coco-2017/validation/data/000000000285.jpg,validation,locked_confirmation,000000000285
coco-rem,000000000632,/home/felix/fiftyone/coco-2017/validation/data/000000000632.jpg,validation,locked_confirmation,000000000632
coco-rem,000000000724,/home/felix/fiftyone/coco-2017/validation/data/000000000724.jpg,validation,locked_confirmation,000000000724
coco-rem,000000000776,/home/felix/fiftyone/coco-2017/validation/data/000000000776.jpg,validation,locked_confirmation,000000000776
coco-rem,000000000785,/home/felix/fiftyone/coco-2017/validation/data/000000000785.jpg,validation,locked_confirmation,000000000785
coco-rem,000000000802,/home/felix/fiftyone/coco-2017/validation/data/000000000802.jpg,validation,locked_confirmation,000000000802
coco-rem,000000000872,/home/felix/fiftyone/coco-2017/validation/data/000000000872.jpg,validation,locked_confirmation,000000000872
coco-rem,000000000885,/home/felix/fiftyone/coco-2017/validation/data/000000000885.jpg,validation,locked_confirmation,000000000885
coco-rem,000000001000,/home/felix/fiftyone/coco-2017/validation/data/000000001000.jpg,validation,locked_confirmation,000000001000
coco-rem,000000001268,/home/felix/fiftyone/coco-2017/validation/data/000000001268.jpg,validation,locked_confirmation,000000001268
coco-rem,000000001296,/home/felix/fiftyone/coco-2017/validation/data/000000001296.jpg,validation,locked_confirmation,000000001296
coco-rem,000000001353,/home/felix/fiftyone/coco-2017/validation/data/000000001353.jpg,validation,locked_confirmation,000000001353
coco-rem,000000001425,/home/felix/fiftyone/coco-2017/validation/data/000000001425.jpg,validation,locked_confirmation,000000001425
coco-rem,000000001490,/home/felix/fiftyone/coco-2017/validation/data/000000001490.jpg,validation,locked_confirmation,000000001490
coco-rem,000000001503,/home/felix/fiftyone/coco-2017/validation/data/000000001503.jpg,validation,locked_confirmation,000000001503
coco-rem,000000001532,/home/felix/fiftyone/coco-2017/validation/data/000000001532.jpg,validation,locked_confirmation,000000001532
coco-rem,000000001584,/home/felix/fiftyone/coco-2017/validation/data/000000001584.jpg,validation,locked_confirmation,000000001584
coco-rem,000000001675,/home/felix/fiftyone/coco-2017/validation/data/000000001675.jpg,validation,locked_confirmation,000000001675
coco-rem,000000001761,/home/felix/fiftyone/coco-2017/validation/data/000000001761.jpg,validation,locked_confirmation,000000001761
coco-rem,000000001818,/home/felix/fiftyone/coco-2017/validation/data/000000001818.jpg,validation,locked_confirmation,000000001818
coco-rem,000000001993,/home/felix/fiftyone/coco-2017/validation/data/000000001993.jpg,validation,locked_confirmation,000000001993
coco-rem,000000002006,/home/felix/fiftyone/coco-2017/validation/data/000000002006.jpg,validation,locked_confirmation,000000002006
coco-rem,000000002149,/home/felix/fiftyone/coco-2017/validation/data/000000002149.jpg,validation,locked_confirmation,000000002149
coco-rem,000000002153,/home/felix/fiftyone/coco-2017/validation/data/000000002153.jpg,validation,locked_confirmation,000000002153
coco-rem,000000002157,/home/felix/fiftyone/coco-2017/validation/data/000000002157.jpg,validation,locked_confirmation,000000002157
coco-rem,000000002261,/home/felix/fiftyone/coco-2017/validation/data/000000002261.jpg,validation,locked_confirmation,000000002261
coco-rem,000000002299,/home/felix/fiftyone/coco-2017/validation/data/000000002299.jpg,validation,locked_confirmation,000000002299
coco-rem,000000002431,/home/felix/fiftyone/coco-2017/validation/data/000000002431.jpg,validation,locked_confirmation,000000002431
coco-rem,000000002473,/home/felix/fiftyone/coco-2017/validation/data/000000002473.jpg,validation,locked_confirmation,000000002473
coco-rem,000000002532,/home/felix/fiftyone/coco-2017/validation/data/000000002532.jpg,validation,locked_confirmation,000000002532
