dataset,image_id,filepath,source_split,partition,source_group_id
coco-rem,000000410972,/home/felix/fiftyone/coco-2017/train/data/000000410972.jpg,train,mllm_selection,000000410972
coco-rem,000000491958,/home/felix/fiftyone/coco-2017/train/data/000000491958.jpg,train,mllm_selection,000000491958
coco-rem,000000439392,/home/felix/fiftyone/coco-2017/train/data/000000439392.jpg,train,mllm_selection,000000439392
coco-rem,000000473060,/home/felix/fiftyone/coco-2017/train/data/000000473060.jpg,train,mllm_selection,000000473060
coco-rem,000000313481,/home/felix/fiftyone/coco-2017/train/data/000000313481.jpg,train,mllm_selection,000000313481
coco-rem,000000465824,/home/felix/fiftyone/coco-2017/train/data/000000465824.jpg,train,mllm_selection,000000465824
coco-rem,000000268921,/home/felix/fiftyone/coco-2017/train/data/000000268921.jpg,train,mllm_selection,000000268921
coco-rem,000000504540,/home/felix/fiftyone/coco-2017/train/data/000000504540.jpg,train,mllm_selection,000000504540
coco-rem,000000518659,/home/felix/fiftyone/coco-2017/train/data/000000518659.jpg,train,mllm_selection,000000518659
coco-rem,000000575096,/home/felix/fiftyone/coco-2017/train/data/000000575096.jpg,train,mllm_selection,000000575096
coco-rem,000000397094,/home/felix/fiftyone/coco-2017/train/data/000000397094.jpg,train,mllm_selection,000000397094
coco-rem,000000045573,/home/felix/fiftyone/coco-2017/train/data/000000045573.jpg,train,mllm_selection,000000045573
coco-rem,000000232344,/home/felix/fiftyone/coco-2017/train/data/000000232344.jpg,train,mllm_selection,000000232344
coco-rem,000000259149,/home/felix/fiftyone/coco-2017/train/data/000000259149.jpg,train,mllm_selection,000000259149
coco-rem,000000013639,/home/felix/fiftyone/coco-2017/train/data/000000013639.jpg,train,mllm_selection,000000013639
coco-rem,000000537860,/home/felix/fiftyone/coco-2017/train/data/000000537860.jpg,train,mllm_selection,000000537860
coco-rem,000000142350,/home/felix/fiftyone/coco-2017/train/data/000000142350.jpg,train,mllm_selection,000000142350
coco-rem,000000447744,/home/felix/fiftyone/coco-2017/train/data/000000447744.jpg,train,mllm_selection,000000447744
coco-rem,000000527464,/home/felix/fiftyone/coco-2017/train/data/000000527464.jpg,train,mllm_selection,000000527464
coco-rem,000000027252,/home/felix/fiftyone/coco-2017/train/data/000000027252.jpg,train,mllm_selection,000000027252
coco-rem,000000208649,/home/felix/fiftyone/coco-2017/train/data/000000208649.jpg,train,mllm_selection,000000208649
coco-rem,000000425480,/home/felix/fiftyone/coco-2017/train/data/000000425480.jpg,train,mllm_selection,000000425480
coco-rem,000000207051,/home/felix/fiftyone/coco-2017/train/data/000000207051.jpg,train,mllm_selection,000000207051
coco-rem,000000312388,/home/felix/fiftyone/coco-2017/train/data/000000312388.jpg,train,mllm_selection,000000312388
coco-rem,000000417597,/home/felix/fiftyone/coco-2017/train/data/000000417597.jpg,train,mllm_selection,000000417597
coco-rem,000000021206,/home/felix/fiftyone/coco-2017/train/data/000000021206.jpg,train,mllm_selection,000000021206
coco-rem,000000265313,/home/felix/fiftyone/coco-2017/train/data/000000265313.jpg,train,mllm_selection,000000265313
coco-rem,000000094097,/home/felix/fiftyone/coco-2017/train/data/000000094097.jpg,train,mllm_selection,000000094097
coco-rem,000000121779,/home/felix/fiftyone/coco-2017/train/data/000000121779.jpg,train,mllm_selection,000000121779
coco-rem,000000330439,/home/felix/fiftyone/coco-2017/train/data/000000330439.jpg,train,mllm_selection,000000330439
coco-rem,000000380258,/home/felix/fiftyone/coco-2017/train/data/000000380258.jpg,train,mllm_selection,000000380258
coco-rem,000000144251,/home/felix/fiftyone/coco-2017/train/data/000000144251.jpg,train,mllm_selection,000000144251
coco-rem,000000022462,/home/felix/fiftyone/coco-2017/train/data/000000022462.jpg,train,mllm_selection,000000022462
coco-rem,000000533454,/home/felix/fiftyone/coco-2017/train/data/000000533454.jpg,train,mllm_selection,000000533454
coco-rem,000000178620,/home/felix/fiftyone/coco-2017/train/data/000000178620.jpg,train,mllm_selection,000000178620
coco-rem,000000367716,/home/felix/fiftyone/coco-2017/train/data/000000367716.jpg,train,mllm_selection,000000367716
coco-rem,000000561823,/home/felix/fiftyone/coco-2017/train/data/000000561823.jpg,train,mllm_selection,000000561823
coco-rem,000000527248,/home/felix/fiftyone/coco-2017/train/data/000000527248.jpg,train,mllm_selection,000000527248
coco-rem,000000529041,/home/felix/fiftyone/coco-2017/train/data/000000529041.jpg,train,mllm_selection,000000529041
coco-rem,000000359851,/home/felix/fiftyone/coco-2017/train/data/000000359851.jpg,train,mllm_selection,000000359851
coco-rem,000000179209,/home/felix/fiftyone/coco-2017/train/data/000000179209.jpg,train,mllm_selection,000000179209
coco-rem,000000362189,/home/felix/fiftyone/coco-2017/train/data/000000362189.jpg,train,mllm_selection,000000362189
coco-rem,000000075643,/home/felix/fiftyone/coco-2017/train/data/000000075643.jpg,train,mllm_selection,000000075643
coco-rem,000000519874,/home/felix/fiftyone/coco-2017/train/data/000000519874.jpg,train,mllm_selection,000000519874
coco-rem,000000118051,/home/felix/fiftyone/coco-2017/train/data/000000118051.jpg,train,mllm_selection,000000118051
coco-rem,000000310369,/home/felix/fiftyone/coco-2017/train/data/000000310369.jpg,train,mllm_selection,000000310369
coco-rem,000000241211,/home/felix/fiftyone/coco-2017/train/data/000000241211.jpg,train,mllm_selection,000000241211
coco-rem,000000517636,/home/felix/fiftyone/coco-2017/train/data/000000517636.jpg,train,mllm_selection,000000517636
coco-rem,000000384420,/home/felix/fiftyone/coco-2017/train/data/000000384420.jpg,train,mllm_selection,000000384420
coco-rem,000000051620,/home/felix/fiftyone/coco-2017/train/data/000000051620.jpg,train,mllm_selection,000000051620
coco-rem,000000244596,/home/felix/fiftyone/coco-2017/train/data/000000244596.jpg,train,mllm_selection,000000244596
coco-rem,000000482479,/home/felix/fiftyone/coco-2017/train/data/000000482479.jpg,train,mllm_selection,000000482479
coco-rem,000000493741,/home/felix/fiftyone/coco-2017/train/data/000000493741.jpg,train,mllm_selection,000000493741
coco-rem,000000242807,/home/felix/fiftyone/coco-2017/train/data/000000242807.jpg,train,mllm_selection,000000242807
coco-rem,000000028463,/home/felix/fiftyone/coco-2017/train/data/000000028463.jpg,train,mllm_selection,000000028463
coco-rem,000000317756,/home/felix/fiftyone/coco-2017/train/data/000000317756.jpg,train,mllm_selection,000000317756
coco-rem,000000517632,/home/felix/fiftyone/coco-2017/train/data/000000517632.jpg,train,mllm_selection,000000517632
coco-rem,000000387601,/home/felix/fiftyone/coco-2017/train/data/000000387601.jpg,train,mllm_selection,000000387601
coco-rem,000000456035,/home/felix/fiftyone/coco-2017/train/data/000000456035.jpg,train,mllm_selection,000000456035
coco-rem,000000111612,/home/felix/fiftyone/coco-2017/train/data/000000111612.jpg,train,mllm_selection,000000111612
coco-rem,000000196365,/home/felix/fiftyone/coco-2017/train/data/000000196365.jpg,train,mllm_selection,000000196365
coco-rem,000000218368,/home/felix/fiftyone/coco-2017/train/data/000000218368.jpg,train,mllm_selection,000000218368
coco-rem,000000188062,/home/felix/fiftyone/coco-2017/train/data/000000188062.jpg,train,mllm_selection,000000188062
coco-rem,000000436164,/home/felix/fiftyone/coco-2017/train/data/000000436164.jpg,train,mllm_selection,000000436164
coco-rem,000000369596,/home/felix/fiftyone/coco-2017/train/data/000000369596.jpg,train,mllm_selection,000000369596
coco-rem,000000142761,/home/felix/fiftyone/coco-2017/train/data/000000142761.jpg,train,mllm_selection,000000142761
coco-rem,000000431742,/home/felix/fiftyone/coco-2017/train/data/000000431742.jpg,train,mllm_selection,000000431742
coco-rem,000000317015,/home/felix/fiftyone/coco-2017/train/data/000000317015.jpg,train,mllm_selection,000000317015
coco-rem,000000401140,/home/felix/fiftyone/coco-2017/train/data/000000401140.jpg,train,mllm_selection,000000401140
coco-rem,000000147192,/home/felix/fiftyone/coco-2017/train/data/000000147192.jpg,train,mllm_selection,000000147192
coco-rem,000000434634,/home/felix/fiftyone/coco-2017/train/data/000000434634.jpg,train,mllm_selection,000000434634
coco-rem,000000357635,/home/felix/fiftyone/coco-2017/train/data/000000357635.jpg,train,mllm_selection,000000357635
coco-rem,000000102159,/home/felix/fiftyone/coco-2017/train/data/000000102159.jpg,train,mllm_selection,000000102159
coco-rem,000000093031,/home/felix/fiftyone/coco-2017/train/data/000000093031.jpg,train,mllm_selection,000000093031
coco-rem,000000401169,/home/felix/fiftyone/coco-2017/train/data/000000401169.jpg,train,mllm_selection,000000401169
coco-rem,000000576513,/home/felix/fiftyone/coco-2017/train/data/000000576513.jpg,train,mllm_selection,000000576513
coco-rem,000000230129,/home/felix/fiftyone/coco-2017/train/data/000000230129.jpg,train,mllm_selection,000000230129
coco-rem,000000429580,/home/felix/fiftyone/coco-2017/train/data/000000429580.jpg,train,mllm_selection,000000429580
coco-rem,000000163615,/home/felix/fiftyone/coco-2017/train/data/000000163615.jpg,train,mllm_selection,000000163615
coco-rem,000000425945,/home/felix/fiftyone/coco-2017/train/data/000000425945.jpg,train,mllm_selection,000000425945
coco-rem,000000424641,/home/felix/fiftyone/coco-2017/train/data/000000424641.jpg,train,mllm_selection,000000424641
coco-rem,000000451983,/home/felix/fiftyone/coco-2017/train/data/000000451983.jpg,train,mllm_selection,000000451983
coco-rem,000000386638,/home/felix/fiftyone/coco-2017/train/data/000000386638.jpg,train,mllm_selection,000000386638
coco-rem,000000243341,/home/felix/fiftyone/coco-2017/train/data/000000243341.jpg,train,mllm_selection,000000243341
coco-rem,000000082052,/home/felix/fiftyone/coco-2017/train/data/000000082052.jpg,train,mllm_selection,000000082052
coco-rem,000000440928,/home/felix/fiftyone/coco-2017/train/data/000000440928.jpg,train,mllm_selection,000000440928
coco-rem,000000124525,/home/felix/fiftyone/coco-2017/train/data/000000124525.jpg,train,mllm_selection,000000124525
coco-rem,000000273732,/home/felix/fiftyone/coco-2017/train/data/000000273732.jpg,train,mllm_selection,000000273732
coco-rem,000000518855,/home/felix/fiftyone/coco-2017/train/data/000000518855.jpg,train,mllm_selection,000000518855
coco-rem,000000521150,/home/felix/fiftyone/coco-2017/train/data/000000521150.jpg,train,mllm_selection,000000521150
coco-rem,000000281382,/home/felix/fiftyone/coco-2017/train/data/000000281382.jpg,train,mllm_selection,000000281382
coco-rem,000000185606,/home/felix/fiftyone/coco-2017/train/data/000000185606.jpg,train,mllm_selection,000000185606
coco-rem,000000279129,/home/felix/fiftyone/coco-2017/train/data/000000279129.jpg,train,mllm_selection,000000279129
coco-rem,000000505627,/home/felix/fiftyone/coco-2017/train/data/000000505627.jpg,train,mllm_selection,000000505627
coco-rem,000000324663,/home/felix/fiftyone/coco-2017/train/data/000000324663.jpg,train,mllm_selection,000000324663
coco-rem,000000224974,/home/felix/fiftyone/coco-2017/train/data/000000224974.jpg,train,mllm_selection,000000224974
coco-rem,000000558824,/home/felix/fiftyone/coco-2017/train/data/000000558824.jpg,train,mllm_selection,000000558824
coco-rem,000000152019,/home/felix/fiftyone/coco-2017/train/data/000000152019.jpg,train,mllm_selection,000000152019
coco-rem,000000109488,/home/felix/fiftyone/coco-2017/train/data/000000109488.jpg,train,mllm_selection,000000109488
coco-rem,000000414068,/home/felix/fiftyone/coco-2017/train/data/000000414068.jpg,train,mllm_selection,000000414068
coco-rem,000000175126,/home/felix/fiftyone/coco-2017/train/data/000000175126.jpg,train,mllm_selection,000000175126
coco-rem,000000572991,/home/felix/fiftyone/coco-2017/train/data/000000572991.jpg,train,mllm_selection,000000572991
coco-rem,000000551701,/home/felix/fiftyone/coco-2017/train/data/000000551701.jpg,train,mllm_selection,000000551701
coco-rem,000000416960,/home/felix/fiftyone/coco-2017/train/data/000000416960.jpg,train,mllm_selection,000000416960
coco-rem,000000452468,/home/felix/fiftyone/coco-2017/train/data/000000452468.jpg,train,mllm_selection,000000452468
coco-rem,000000411841,/home/felix/fiftyone/coco-2017/train/data/000000411841.jpg,train,mllm_selection,000000411841
coco-rem,000000271401,/home/felix/fiftyone/coco-2017/train/data/000000271401.jpg,train,mllm_selection,000000271401
coco-rem,000000467411,/home/felix/fiftyone/coco-2017/train/data/000000467411.jpg,train,mllm_selection,000000467411
coco-rem,000000302241,/home/felix/fiftyone/coco-2017/train/data/000000302241.jpg,train,mllm_selection,000000302241
coco-rem,000000367275,/home/felix/fiftyone/coco-2017/train/data/000000367275.jpg,train,mllm_selection,000000367275
coco-rem,000000570902,/home/felix/fiftyone/coco-2017/train/data/000000570902.jpg,train,mllm_selection,000000570902
coco-rem,000000443254,/home/felix/fiftyone/coco-2017/train/data/000000443254.jpg,train,mllm_selection,000000443254
coco-rem,000000237245,/home/felix/fiftyone/coco-2017/train/data/000000237245.jpg,train,mllm_selection,000000237245
coco-rem,000000470046,/home/felix/fiftyone/coco-2017/train/data/000000470046.jpg,train,mllm_selection,000000470046
coco-rem,000000199881,/home/felix/fiftyone/coco-2017/train/data/000000199881.jpg,train,mllm_selection,000000199881
coco-rem,000000380742,/home/felix/fiftyone/coco-2017/train/data/000000380742.jpg,train,mllm_selection,000000380742
coco-rem,000000303197,/home/felix/fiftyone/coco-2017/train/data/000000303197.jpg,train,mllm_selection,000000303197
coco-rem,000000249836,/home/felix/fiftyone/coco-2017/train/data/000000249836.jpg,train,mllm_selection,000000249836
coco-rem,000000265840,/home/felix/fiftyone/coco-2017/train/data/000000265840.jpg,train,mllm_selection,000000265840
coco-rem,000000020018,/home/felix/fiftyone/coco-2017/train/data/000000020018.jpg,train,mllm_selection,000000020018
coco-rem,000000146850,/home/felix/fiftyone/coco-2017/train/data/000000146850.jpg,train,mllm_selection,000000146850
coco-rem,000000420702,/home/felix/fiftyone/coco-2017/train/data/000000420702.jpg,train,mllm_selection,000000420702
