dataset,image_id,filepath,source_split,partition,source_group_id,object_count,median_relative_box_area,overlap_fraction,category_count,crowd_present,selection_group
coco-rem,000000000139,/home/felix/fiftyone/coco-2017/validation/data/000000000139.jpg,validation,locked_confirmation,000000000139,22,0.002888424295774648,0.5,10,False,all_validation
coco-rem,000000000285,/home/felix/fiftyone/coco-2017/validation/data/000000000285.jpg,validation,locked_confirmation,000000000285,1,0.8814419795221843,0.0,1,False,all_validation
coco-rem,000000000632,/home/felix/fiftyone/coco-2017/validation/data/000000000632.jpg,validation,locked_confirmation,000000000632,18,0.001033579192546584,0.0,5,True,all_validation
coco-rem,000000000724,/home/felix/fiftyone/coco-2017/validation/data/000000000724.jpg,validation,locked_confirmation,000000000724,4,0.0028426666666666665,0.0,3,False,all_validation
coco-rem,000000000776,/home/felix/fiftyone/coco-2017/validation/data/000000000776.jpg,validation,locked_confirmation,000000000776,4,0.509866019275701,1.0,2,False,all_validation
coco-rem,000000000785,/home/felix/fiftyone/coco-2017/validation/data/000000000785.jpg,validation,locked_confirmation,000000000785,3,0.020588235294117647,0.6666666666666666,2,False,all_validation
coco-rem,000000000802,/home/felix/fiftyone/coco-2017/validation/data/000000000802.jpg,validation,locked_confirmation,000000000802,2,0.16129127358490566,0.0,2,False,all_validation
coco-rem,000000000872,/home/felix/fiftyone/coco-2017/validation/data/000000000872.jpg,validation,locked_confirmation,000000000872,4,0.1563846115136876,1.0,3,False,all_validation
coco-rem,000000000885,/home/felix/fiftyone/coco-2017/validation/data/000000000885.jpg,validation,locked_confirmation,000000000885,9,0.004061768149882904,0.0,2,False,all_validation
coco-rem,000000001000,/home/felix/fiftyone/coco-2017/validation/data/000000001000.jpg,validation,locked_confirmation,000000001000,17,0.04033203125,0.7058823529411765,4,False,all_validation
coco-rem,000000001268,/home/felix/fiftyone/coco-2017/validation/data/000000001268.jpg,validation,locked_confirmation,000000001268,11,0.009067622950819672,0.45454545454545453,6,False,all_validation
coco-rem,000000001296,/home/felix/fiftyone/coco-2017/validation/data/000000001296.jpg,validation,locked_confirmation,000000001296,5,0.03504098360655738,1.0,3,False,all_validation
coco-rem,000000001353,/home/felix/fiftyone/coco-2017/validation/data/000000001353.jpg,validation,locked_confirmation,000000001353,8,0.039568,0.375,2,False,all_validation
coco-rem,000000001425,/home/felix/fiftyone/coco-2017/validation/data/000000001425.jpg,validation,locked_confirmation,000000001425,3,0.140625,0.0,3,False,all_validation
coco-rem,000000001490,/home/felix/fiftyone/coco-2017/validation/data/000000001490.jpg,validation,locked_confirmation,000000001490,2,0.023115079365079366,0.0,2,False,all_validation
coco-rem,000000001503,/home/felix/fiftyone/coco-2017/validation/data/000000001503.jpg,validation,locked_confirmation,000000001503,5,0.083984375,0.4,4,False,all_validation
coco-rem,000000001532,/home/felix/fiftyone/coco-2017/validation/data/000000001532.jpg,validation,locked_confirmation,000000001532,8,0.009156901041666667,0.375,2,False,all_validation
coco-rem,000000001584,/home/felix/fiftyone/coco-2017/validation/data/000000001584.jpg,validation,locked_confirmation,000000001584,14,0.0016006130120893673,0.6428571428571429,2,False,all_validation
coco-rem,000000001675,/home/felix/fiftyone/coco-2017/validation/data/000000001675.jpg,validation,locked_confirmation,000000001675,3,0.3625,0.6666666666666666,3,False,all_validation
