dataset,image_id,filepath,source_split,partition,source_group_id,object_count,median_relative_box_area,overlap_fraction,category_count,crowd_present,selection_group
coco-rem,000000195724,/home/felix/fiftyone/coco-2017/train/data/000000195724.jpg,train,mllm_selection,000000195724,24,0.016121419270833333,0.9583333333333334,8,False,random
coco-rem,000000571051,/home/felix/fiftyone/coco-2017/train/data/000000571051.jpg,train,mllm_selection,000000571051,6,0.020184725467289718,0.6666666666666666,4,False,random
coco-rem,000000140963,/home/felix/fiftyone/coco-2017/train/data/000000140963.jpg,train,mllm_selection,000000140963,28,0.0100390625,0.6071428571428571,7,False,random
coco-rem,000000120333,/home/felix/fiftyone/coco-2017/train/data/000000120333.jpg,train,mllm_selection,000000120333,7,0.04927083333333333,0.8571428571428571,4,False,random
coco-rem,000000568668,/home/felix/fiftyone/coco-2017/train/data/000000568668.jpg,train,mllm_selection,000000568668,8,0.0007939385150812065,0.375,3,False,random
coco-rem,000000335072,/home/felix/fiftyone/coco-2017/train/data/000000335072.jpg,train,mllm_selection,000000335072,4,0.26371222124413146,1.0,2,False,random
coco-rem,000000440964,/home/felix/fiftyone/coco-2017/train/data/000000440964.jpg,train,mllm_selection,000000440964,5,0.05168,0.0,5,False,random
coco-rem,000000320563,/home/felix/fiftyone/coco-2017/train/data/000000320563.jpg,train,mllm_selection,000000320563,4,0.22059895833333334,1.0,3,False,random
coco-rem,000000230296,/home/felix/fiftyone/coco-2017/train/data/000000230296.jpg,train,mllm_selection,000000230296,8,0.03688380281690141,1.0,5,False,random
coco-rem,000000548906,/home/felix/fiftyone/coco-2017/train/data/000000548906.jpg,train,mllm_selection,000000548906,6,0.17123697916666666,0.8333333333333334,4,False,random
coco-rem,000000135486,/home/felix/fiftyone/coco-2017/train/data/000000135486.jpg,train,mllm_selection,000000135486,7,0.00031901041666666666,0.0,2,False,random
coco-rem,000000228133,/home/felix/fiftyone/coco-2017/train/data/000000228133.jpg,train,mllm_selection,000000228133,2,0.1501708984375,0.0,1,False,random
coco-rem,000000080010,/home/felix/fiftyone/coco-2017/train/data/000000080010.jpg,train,mllm_selection,000000080010,6,0.11361460612691467,0.3333333333333333,3,False,random
coco-rem,000000323717,/home/felix/fiftyone/coco-2017/train/data/000000323717.jpg,train,mllm_selection,000000323717,6,0.14391276041666667,0.5,6,False,random
coco-rem,000000452873,/home/felix/fiftyone/coco-2017/train/data/000000452873.jpg,train,mllm_selection,000000452873,3,0.236962890625,1.0,2,False,random
coco-rem,000000422810,/home/felix/fiftyone/coco-2017/train/data/000000422810.jpg,train,mllm_selection,000000422810,2,0.021521882318501172,0.0,1,False,random
coco-rem,000000362145,/home/felix/fiftyone/coco-2017/train/data/000000362145.jpg,train,mllm_selection,000000362145,9,0.0026346604215456673,0.0,3,False,random
coco-rem,000000370043,/home/felix/fiftyone/coco-2017/train/data/000000370043.jpg,train,mllm_selection,000000370043,1,0.7166666666666667,0.0,1,False,random
coco-rem,000000268151,/home/felix/fiftyone/coco-2017/train/data/000000268151.jpg,train,mllm_selection,000000268151,16,0.0018293333333333334,0.0,7,False,random
coco-rem,000000263734,/home/felix/fiftyone/coco-2017/train/data/000000263734.jpg,train,mllm_selection,000000263734,12,0.0014252781030444964,0.0,7,False,random
coco-rem,000000377518,/home/felix/fiftyone/coco-2017/train/data/000000377518.jpg,train,mllm_selection,000000377518,6,0.08091961156542056,0.3333333333333333,4,False,random
coco-rem,000000215546,/home/felix/fiftyone/coco-2017/train/data/000000215546.jpg,train,mllm_selection,000000215546,8,0.0028780005854800936,0.0,3,False,random
coco-rem,000000420702,/home/felix/fiftyone/coco-2017/train/data/000000420702.jpg,train,mllm_selection,000000420702,2,0.028570963541666668,0.0,1,False,random
coco-rem,000000208919,/home/felix/fiftyone/coco-2017/train/data/000000208919.jpg,train,mllm_selection,000000208919,2,0.13003695843091334,0.0,1,False,random
coco-rem,000000364448,/home/felix/fiftyone/coco-2017/train/data/000000364448.jpg,train,mllm_selection,000000364448,2,0.11141653806584362,1.0,2,False,random
coco-rem,000000196117,/home/felix/fiftyone/coco-2017/train/data/000000196117.jpg,train,mllm_selection,000000196117,2,0.2454376731301939,1.0,2,False,random
coco-rem,000000207051,/home/felix/fiftyone/coco-2017/train/data/000000207051.jpg,train,mllm_selection,000000207051,4,0.1567249853286385,0.0,3,False,random
coco-rem,000000219434,/home/felix/fiftyone/coco-2017/train/data/000000219434.jpg,train,mllm_selection,000000219434,7,0.00036851415094339625,0.5714285714285714,2,False,random
coco-rem,000000203299,/home/felix/fiftyone/coco-2017/train/data/000000203299.jpg,train,mllm_selection,000000203299,2,0.09291958041958041,0.0,1,False,random
coco-rem,000000001688,/home/felix/fiftyone/coco-2017/train/data/000000001688.jpg,train,mllm_selection,000000001688,6,0.219324951171875,1.0,4,False,random
coco-rem,000000491269,/home/felix/fiftyone/coco-2017/train/data/000000491269.jpg,train,mllm_selection,000000491269,11,0.02988235294117647,0.18181818181818182,8,False,random
coco-rem,000000130413,/home/felix/fiftyone/coco-2017/train/data/000000130413.jpg,train,mllm_selection,000000130413,2,0.009375,0.0,2,False,random
coco-rem,000000477887,/home/felix/fiftyone/coco-2017/train/data/000000477887.jpg,train,mllm_selection,000000477887,5,0.017265625,0.0,2,False,random
coco-rem,000000310526,/home/felix/fiftyone/coco-2017/train/data/000000310526.jpg,train,mllm_selection,000000310526,1,0.063466796875,0.0,1,False,random
coco-rem,000000085584,/home/felix/fiftyone/coco-2017/train/data/000000085584.jpg,train,mllm_selection,000000085584,2,0.00988849765258216,0.0,2,False,random
coco-rem,000000178285,/home/felix/fiftyone/coco-2017/train/data/000000178285.jpg,train,mllm_selection,000000178285,3,0.09811197916666667,0.0,3,False,random
coco-rem,000000018930,/home/felix/fiftyone/coco-2017/train/data/000000018930.jpg,train,mllm_selection,000000018930,5,0.12573529411764706,1.0,3,False,random
coco-rem,000000327610,/home/felix/fiftyone/coco-2017/train/data/000000327610.jpg,train,mllm_selection,000000327610,7,0.011361973067915691,0.8571428571428571,3,False,random
coco-rem,000000344255,/home/felix/fiftyone/coco-2017/train/data/000000344255.jpg,train,mllm_selection,000000344255,2,0.3262148711943794,0.0,2,False,random
coco-rem,000000561097,/home/felix/fiftyone/coco-2017/train/data/000000561097.jpg,train,mllm_selection,000000561097,2,0.15986054322429907,0.0,1,False,random
coco-rem,000000191881,/home/felix/fiftyone/coco-2017/train/data/000000191881.jpg,train,mllm_selection,000000191881,5,0.05307377049180328,0.8,3,False,random
coco-rem,000000323813,/home/felix/fiftyone/coco-2017/train/data/000000323813.jpg,train,mllm_selection,000000323813,5,0.0033854166666666668,0.4,1,False,random
coco-rem,000000424641,/home/felix/fiftyone/coco-2017/train/data/000000424641.jpg,train,mllm_selection,000000424641,13,0.03227205882352941,0.5384615384615384,6,False,random
coco-rem,000000301484,/home/felix/fiftyone/coco-2017/train/data/000000301484.jpg,train,mllm_selection,000000301484,12,0.0021451822916666668,0.16666666666666666,4,False,random
coco-rem,000000292789,/home/felix/fiftyone/coco-2017/train/data/000000292789.jpg,train,mllm_selection,000000292789,1,0.20858072916666667,0.0,1,False,random
coco-rem,000000426421,/home/felix/fiftyone/coco-2017/train/data/000000426421.jpg,train,mllm_selection,000000426421,4,0.08406412760416666,1.0,4,False,random
coco-rem,000000148827,/home/felix/fiftyone/coco-2017/train/data/000000148827.jpg,train,mllm_selection,000000148827,3,0.00939453125,0.0,3,False,random
coco-rem,000000345952,/home/felix/fiftyone/coco-2017/train/data/000000345952.jpg,train,mllm_selection,000000345952,6,0.0022249348958333333,0.6666666666666666,3,False,random
coco-rem,000000006715,/home/felix/fiftyone/coco-2017/train/data/000000006715.jpg,train,mllm_selection,000000006715,2,0.021066080729166665,0.0,2,False,random
coco-rem,000000360555,/home/felix/fiftyone/coco-2017/train/data/000000360555.jpg,train,mllm_selection,000000360555,12,0.027561290322580645,1.0,3,False,random
coco-rem,000000442818,/home/felix/fiftyone/coco-2017/train/data/000000442818.jpg,train,mllm_selection,000000442818,4,0.008798828125,0.0,2,False,random
coco-rem,000000323930,/home/felix/fiftyone/coco-2017/train/data/000000323930.jpg,train,mllm_selection,000000323930,5,0.013301333333333333,0.8,4,False,random
coco-rem,000000330439,/home/felix/fiftyone/coco-2017/train/data/000000330439.jpg,train,mllm_selection,000000330439,3,0.12999853629976582,1.0,3,False,random
coco-rem,000000090125,/home/felix/fiftyone/coco-2017/train/data/000000090125.jpg,train,mllm_selection,000000090125,2,0.22743956367924528,1.0,2,False,random
coco-rem,000000149233,/home/felix/fiftyone/coco-2017/train/data/000000149233.jpg,train,mllm_selection,000000149233,8,0.10310849471830986,0.875,4,False,random
coco-rem,000000227732,/home/felix/fiftyone/coco-2017/train/data/000000227732.jpg,train,mllm_selection,000000227732,2,0.6484548611111111,1.0,2,False,random
coco-rem,000000040165,/home/felix/fiftyone/coco-2017/train/data/000000040165.jpg,train,mllm_selection,000000040165,2,0.3855422794117647,0.0,2,False,random
coco-rem,000000530777,/home/felix/fiftyone/coco-2017/train/data/000000530777.jpg,train,mllm_selection,000000530777,8,0.003973946135831382,0.25,3,False,random
coco-rem,000000124169,/home/felix/fiftyone/coco-2017/train/data/000000124169.jpg,train,mllm_selection,000000124169,6,0.04584446957236842,0.3333333333333333,4,False,random
coco-rem,000000070745,/home/felix/fiftyone/coco-2017/train/data/000000070745.jpg,train,mllm_selection,000000070745,2,0.21364351580796254,0.0,1,False,random
coco-rem,000000523677,/home/felix/fiftyone/coco-2017/train/data/000000523677.jpg,train,mllm_selection,000000523677,24,0.010076497395833333,0.8333333333333334,4,False,random
coco-rem,000000063240,/home/felix/fiftyone/coco-2017/train/data/000000063240.jpg,train,mllm_selection,000000063240,5,0.01599875415282392,0.0,2,False,random
coco-rem,000000273885,/home/felix/fiftyone/coco-2017/train/data/000000273885.jpg,train,mllm_selection,000000273885,3,0.45495180722891565,1.0,3,False,random
coco-rem,000000207676,/home/felix/fiftyone/coco-2017/train/data/000000207676.jpg,train,mllm_selection,000000207676,4,0.14129557291666667,1.0,2,False,random
coco-rem,000000549939,/home/felix/fiftyone/coco-2017/train/data/000000549939.jpg,train,mllm_selection,000000549939,4,0.047932942708333336,0.0,2,False,random
