version_a,version_b,cohort,metric,difference_b_minus_a,ci_low,ci_high,n_valid_bootstrap
16,17,properties,rmse,0.0025845333932490444,-0.0031845182567513067,0.008490878727326455,1000
16,17,properties,mse_skill,-0.01768697093530469,-0.05870189690881823,0.021589053361760757,1000
16,17,properties,auroc_0.25,0.01794181924521432,-0.02514853018365299,0.060691593748060296,1000
16,17,properties,auroc_0.5,-0.007122784420149464,-0.03926497250755559,0.025560727549468587,1000
16,17,properties,auroc_0.75,-0.04546780819308127,-0.09633209069601002,0.003439603412967917,1000
16,17,random,rmse,0.001954443191393762,-0.0014598396919952808,0.005721176920730756,1000
16,17,random,mse_skill,-0.014487663156348085,-0.04240622976445661,0.010830906179468077,1000
16,17,random,auroc_0.25,0.0018483776551287967,-0.029400399281214247,0.03480726609720101,1000
16,17,random,auroc_0.5,-0.01259493864917105,-0.03197484157326852,0.006613970919344896,1000
16,17,random,auroc_0.75,-0.029291333359186322,-0.05199216495098734,-0.007728846511693323,1000
16,18,properties,rmse,0.0002977213822678848,-0.004977069285090944,0.005981967959418727,1000
16,18,properties,mse_skill,-0.0020279168769220535,-0.040933888469946195,0.03349695006744037,1000
16,18,properties,auroc_0.25,0.02132064286829516,-0.01942227611652684,0.06172919394914821,1000
16,18,properties,auroc_0.5,-0.0025991603023837184,-0.03185843583372583,0.02656453626540598,1000
16,18,properties,auroc_0.75,-0.031917514504191336,-0.07420153913903246,0.00910385380070839,1000
16,18,random,rmse,-9.335518800765441e-05,-0.0041473371675974004,0.003922862939559182,1000
16,18,random,mse_skill,0.0006890501685822281,-0.02934639632451738,0.03056348324582214,1000
16,18,random,auroc_0.25,0.015259672689032833,-0.0209438978563164,0.05188218027145649,1000
16,18,random,auroc_0.5,-0.0034868142755449805,-0.0241921985470935,0.016608460172385195,1000
16,18,random,auroc_0.75,-0.02576127932599359,-0.047659559971809144,-0.0031363805404582743,1000
17,18,properties,rmse,-0.0022868120109811596,-0.0074608248177928825,0.0025459509793628226,1000
17,18,properties,mse_skill,0.015659054058382638,-0.01752073226779535,0.05044506937378173,1000
17,18,properties,auroc_0.25,0.00337882362308084,-0.035610188896234476,0.04052043019924398,1000
17,18,properties,auroc_0.5,0.0045236241177657455,-0.018437289422562862,0.028360561016373152,1000
17,18,properties,auroc_0.75,0.013550293688889936,-0.018161583073023135,0.04831906028998504,1000
17,18,random,rmse,-0.0020477983794014165,-0.005142312422043429,0.0011201305163226812,1000
17,18,random,mse_skill,0.015176713324930313,-0.008205885845066308,0.03827498644340853,1000
17,18,random,auroc_0.25,0.013411295033904036,-0.01507506114610605,0.03983976747931397,1000
17,18,random,auroc_0.5,0.00910812437362607,-0.007319377003903043,0.02594419223833706,1000
17,18,random,auroc_0.75,0.003530054033192731,-0.013118920372954812,0.02190316211129905,1000
