version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,properties,detection-transformer-torch,0.25,500,231,0.462,0.5558023141666264,0.5126866294931526,0.6011118668845813
16,properties,dfine-large-coco-torch,0.25,500,58,0.116,0.5337806210017163,0.46203064756140877,0.6052633459537085
16,properties,dfine-medium-coco-torch,0.25,500,61,0.122,0.5364277979013407,0.464732884780437,0.6023358193959916
16,properties,dfine-nano-coco-torch,0.25,500,127,0.254,0.555149775178907,0.5066104862150684,0.6027545179172267
16,properties,dfine-small-coco-torch,0.25,500,74,0.148,0.5203495749270397,0.45366195413604765,0.5802986574793932
16,properties,dfine-xlarge-coco-torch,0.25,500,53,0.106,0.5179815119665696,0.44350797458893876,0.5915739755146364
16,properties,faster-rcnn-resnet50-fpn-coco-torch,0.25,500,87,0.174,0.4686343269043444,0.4071502018986967,0.5277648276911823
16,properties,retinanet-resnet50-fpn-coco-torch,0.25,500,90,0.18,0.56210027100271,0.509445305262163,0.6143322243765369
16,properties,rfdetr-base-coco-torch,0.25,500,112,0.224,0.5678042157584683,0.516260006500493,0.6180256359367867
16,properties,rfdetr-large-coco-torch,0.25,500,107,0.214,0.5700934579439252,0.5161513200165118,0.6243716326679525
16,properties,rfdetr-medium-coco-torch,0.25,500,121,0.242,0.5690049935672387,0.51998607020751,0.6204329266842644
16,properties,rfdetr-nano-coco-torch,0.25,500,165,0.33,0.6049208502939846,0.5611317740175619,0.649142064014354
16,properties,rfdetr-small-coco-torch,0.25,500,126,0.252,0.5835030982089806,0.5348371615060951,0.6313583578210203
16,properties,rtdetr-l-coco-torch,0.25,500,61,0.122,0.5405541655775048,0.47266799645287544,0.6072480090860936
16,properties,rtdetr-v2-l-coco-torch,0.25,500,81,0.162,0.5220690061581071,0.45697991783741093,0.5800063289090112
16,properties,rtdetr-v2-m-coco-torch,0.25,500,60,0.12,0.536969696969697,0.4712184981842263,0.6073033458523458
16,properties,rtdetr-v2-s-coco-torch,0.25,500,70,0.14,0.5030066445182724,0.4367394721920521,0.5677305106447239
16,properties,rtdetr-x-coco-torch,0.25,500,53,0.106,0.5505677261407286,0.4804550483834207,0.6205318355855856
16,properties,yolo11l-coco-torch,0.25,500,75,0.15,0.5477960784313726,0.49077995894075094,0.6055822787541336
16,properties,yolo11m-coco-torch,0.25,500,83,0.166,0.5152697119412903,0.45196280487097373,0.5756382428357601
16,properties,yolo11n-coco-torch,0.25,500,166,0.332,0.5568772094365486,0.5103611208772675,0.6017052829296271
16,properties,yolo11s-coco-torch,0.25,500,95,0.19,0.5279922027290448,0.4689814128648442,0.5813423091136506
16,properties,yolo11x-coco-torch,0.25,500,60,0.12,0.5035416666666667,0.43612889694660145,0.5716618646754253
16,properties,yolov10l-coco-torch,0.25,500,82,0.164,0.5443896604037811,0.48501155916748234,0.5980462549845345
16,properties,yolov10m-coco-torch,0.25,500,93,0.186,0.537198488811392,0.4754872101714554,0.5904977884799074
16,properties,yolov10n-coco-torch,0.25,500,201,0.402,0.5798266194113046,0.536049523755419,0.6247900119982548
16,properties,yolov10s-coco-torch,0.25,500,113,0.226,0.5320710708650614,0.4756676148716349,0.5824480688859167
16,properties,yolov10x-coco-torch,0.25,500,72,0.144,0.5458690290758048,0.48267951178669766,0.6067149130502238
16,properties,yolov5l-coco-torch,0.25,500,67,0.134,0.49176174554479335,0.4210164495934394,0.5552904078320169
16,properties,yolov5m-coco-torch,0.25,500,84,0.168,0.4867216117216117,0.42275243715284105,0.5493543723383663
16,properties,yolov5n-coco-torch,0.25,500,206,0.412,0.544605706360214,0.5000932819226714,0.5877197556368957
16,properties,yolov5s-coco-torch,0.25,500,105,0.21,0.5312236286919831,0.475241311088613,0.5846294418700542
16,properties,yolov5x-coco-torch,0.25,500,61,0.122,0.4952388065275029,0.42345939649513376,0.56481578845807
16,properties,yolov8l-coco-torch,0.25,500,63,0.126,0.5073735062293415,0.44146198713908225,0.5716673931204824
16,properties,yolov8m-coco-torch,0.25,500,81,0.162,0.5318365302454403,0.47061709230944176,0.5894403510797054
16,properties,yolov8n-coco-torch,0.25,500,169,0.338,0.5524142369366631,0.5054213653623987,0.6012678134261378
16,properties,yolov8s-coco-torch,0.25,500,91,0.182,0.5082216072436121,0.44977278127586984,0.5660949212946323
