version,model,level,prediction,baseline,n_train,metric,prompt_strategy
16,detection-transformer-torch,1,0.9254179633422321,0.40357565035641224,2,detection_quality,zeroshot
16,detection-transformer-torch,2,0.5650599609882815,0.40357565035641224,220,detection_quality,zeroshot
16,detection-transformer-torch,3,0.3990499760589456,0.40357565035641224,435,detection_quality,zeroshot
16,detection-transformer-torch,4,0.302696453138965,0.40357565035641224,341,detection_quality,zeroshot
16,detection-transformer-torch,5,0.302696453138965,0.40357565035641224,2,detection_quality,zeroshot
16,dfine-large-coco-torch,1,0.9887367624280015,0.6517205048711282,2,detection_quality,zeroshot
16,dfine-large-coco-torch,2,0.7624311570430156,0.6517205048711282,220,detection_quality,zeroshot
16,dfine-large-coco-torch,3,0.6713734969037481,0.6517205048711282,435,detection_quality,zeroshot
16,dfine-large-coco-torch,4,0.5551695015493848,0.6517205048711282,341,detection_quality,zeroshot
16,dfine-large-coco-torch,5,0.3239528076694086,0.6517205048711282,2,detection_quality,zeroshot
16,dfine-medium-coco-torch,1,0.9901762861015053,0.653429727477437,2,detection_quality,zeroshot
16,dfine-medium-coco-torch,2,0.7696451684548793,0.653429727477437,220,detection_quality,zeroshot
16,dfine-medium-coco-torch,3,0.6746490831117804,0.653429727477437,435,detection_quality,zeroshot
16,dfine-medium-coco-torch,4,0.5512712135250509,0.653429727477437,341,detection_quality,zeroshot
16,dfine-medium-coco-torch,5,0.33580143974665816,0.653429727477437,2,detection_quality,zeroshot
16,dfine-nano-coco-torch,1,0.9887279612770581,0.560848207125243,2,detection_quality,zeroshot
16,dfine-nano-coco-torch,2,0.7084395268110446,0.560848207125243,220,detection_quality,zeroshot
16,dfine-nano-coco-torch,3,0.5758832329379466,0.560848207125243,435,detection_quality,zeroshot
16,dfine-nano-coco-torch,4,0.44571820913493654,0.560848207125243,341,detection_quality,zeroshot
16,dfine-nano-coco-torch,5,0.25746983061917755,0.560848207125243,2,detection_quality,zeroshot
16,dfine-small-coco-torch,1,0.9933261528561229,0.6018565515938219,2,detection_quality,zeroshot
16,dfine-small-coco-torch,2,0.7346745760651319,0.6018565515938219,220,detection_quality,zeroshot
16,dfine-small-coco-torch,3,0.6130785803624984,0.6018565515938219,435,detection_quality,zeroshot
16,dfine-small-coco-torch,4,0.5010494885503692,0.6018565515938219,341,detection_quality,zeroshot
16,dfine-small-coco-torch,5,0.3472172502088652,0.6018565515938219,2,detection_quality,zeroshot
16,dfine-xlarge-coco-torch,1,0.9885181380589494,0.6745152423554631,2,detection_quality,zeroshot
16,dfine-xlarge-coco-torch,2,0.7873716590511131,0.6745152423554631,220,detection_quality,zeroshot
16,dfine-xlarge-coco-torch,3,0.692316319759414,0.6745152423554631,435,detection_quality,zeroshot
16,dfine-xlarge-coco-torch,4,0.5789066421988922,0.6745152423554631,341,detection_quality,zeroshot
16,dfine-xlarge-coco-torch,5,0.3758385014667588,0.6745152423554631,2,detection_quality,zeroshot
16,faster-rcnn-resnet50-fpn-coco-torch,1,0.9584861311749149,0.4571821627712276,2,detection_quality,zeroshot
16,faster-rcnn-resnet50-fpn-coco-torch,2,0.5432724415690217,0.4571821627712276,220,detection_quality,zeroshot
16,faster-rcnn-resnet50-fpn-coco-torch,3,0.4455802769736497,0.4571821627712276,435,detection_quality,zeroshot
16,faster-rcnn-resnet50-fpn-coco-torch,4,0.4137546148109484,0.4571821627712276,341,detection_quality,zeroshot
16,faster-rcnn-resnet50-fpn-coco-torch,5,0.4137546148109484,0.4571821627712276,2,detection_quality,zeroshot
16,retinanet-resnet50-fpn-coco-torch,1,0.9826207701613273,0.5354168576162636,2,detection_quality,zeroshot
16,retinanet-resnet50-fpn-coco-torch,2,0.6566010498596468,0.5354168576162636,220,detection_quality,zeroshot
16,retinanet-resnet50-fpn-coco-torch,3,0.5482687403884343,0.5354168576162636,435,detection_quality,zeroshot
16,retinanet-resnet50-fpn-coco-torch,4,0.43878274938148853,0.5354168576162636,341,detection_quality,zeroshot
16,retinanet-resnet50-fpn-coco-torch,5,0.43878274938148853,0.5354168576162636,2,detection_quality,zeroshot
16,rfdetr-base-coco-torch,1,0.9850013520663384,0.6102507714780702,2,detection_quality,zeroshot
16,rfdetr-base-coco-torch,2,0.7408858760610342,0.6102507714780702,220,detection_quality,zeroshot
16,rfdetr-base-coco-torch,3,0.632098098689677,0.6102507714780702,435,detection_quality,zeroshot
16,rfdetr-base-coco-torch,4,0.49846407930159087,0.6102507714780702,341,detection_quality,zeroshot
16,rfdetr-base-coco-torch,5,0.17347603432939934,0.6102507714780702,2,detection_quality,zeroshot
16,rfdetr-large-coco-torch,1,0.9851591725720732,0.6255005349636037,2,detection_quality,zeroshot
16,rfdetr-large-coco-torch,2,0.7516131198367841,0.6255005349636037,220,detection_quality,zeroshot
16,rfdetr-large-coco-torch,3,0.6502900209600754,0.6255005349636037,435,detection_quality,zeroshot
16,rfdetr-large-coco-torch,4,0.5131884176194689,0.6255005349636037,341,detection_quality,zeroshot
16,rfdetr-large-coco-torch,5,0.1509603642474618,0.6255005349636037,2,detection_quality,zeroshot
16,rfdetr-medium-coco-torch,1,0.9852530683766341,0.6216880083487929,2,detection_quality,zeroshot
16,rfdetr-medium-coco-torch,2,0.7550261991734756,0.6216880083487929,220,detection_quality,zeroshot
16,rfdetr-medium-coco-torch,3,0.650004209566129,0.6216880083487929,435,detection_quality,zeroshot
16,rfdetr-medium-coco-torch,4,0.500372413888488,0.6216880083487929,341,detection_quality,zeroshot
16,rfdetr-medium-coco-torch,5,0.11645704831674844,0.6216880083487929,2,detection_quality,zeroshot
16,rfdetr-nano-coco-torch,1,0.9912208335531407,0.5776083855206445,2,detection_quality,zeroshot
16,rfdetr-nano-coco-torch,2,0.7338613933275273,0.5776083855206445,220,detection_quality,zeroshot
16,rfdetr-nano-coco-torch,3,0.6011789847339937,0.5776083855206445,435,detection_quality,zeroshot
16,rfdetr-nano-coco-torch,4,0.44719594696170306,0.5776083855206445,341,detection_quality,zeroshot
16,rfdetr-nano-coco-torch,5,0.08488052412744125,0.5776083855206445,2,detection_quality,zeroshot
16,rfdetr-small-coco-torch,1,0.9918482635816337,0.6189969669318153,2,detection_quality,zeroshot
16,rfdetr-small-coco-torch,2,0.7567051075829394,0.6189969669318153,220,detection_quality,zeroshot
16,rfdetr-small-coco-torch,3,0.6455636031073357,0.6189969669318153,435,detection_quality,zeroshot
16,rfdetr-small-coco-torch,4,0.4971274182726194,0.6189969669318153,341,detection_quality,zeroshot
16,rfdetr-small-coco-torch,5,0.0987648768765574,0.6189969669318153,2,detection_quality,zeroshot
16,rtdetr-l-coco-torch,1,0.9839591549987802,0.5610279720078203,2,detection_quality,zeroshot
16,rtdetr-l-coco-torch,2,0.6940249753369618,0.5610279720078203,220,detection_quality,zeroshot
16,rtdetr-l-coco-torch,3,0.5739550701469207,0.5610279720078203,435,detection_quality,zeroshot
16,rtdetr-l-coco-torch,4,0.4568632758302651,0.5610279720078203,341,detection_quality,zeroshot
16,rtdetr-l-coco-torch,5,0.4568632758302651,0.5610279720078203,2,detection_quality,zeroshot
16,rtdetr-v2-l-coco-torch,1,0.9836182862736051,0.6551630257957263,2,detection_quality,zeroshot
16,rtdetr-v2-l-coco-torch,2,0.7886354513794523,0.6551630257957263,220,detection_quality,zeroshot
16,rtdetr-v2-l-coco-torch,3,0.6782073927504143,0.6551630257957263,435,detection_quality,zeroshot
16,rtdetr-v2-l-coco-torch,4,0.5405603583812029,0.6551630257957263,341,detection_quality,zeroshot
16,rtdetr-v2-l-coco-torch,5,0.17234593263964554,0.6551630257957263,2,detection_quality,zeroshot
16,rtdetr-v2-m-coco-torch,1,0.9880565832426559,0.6579062083636237,2,detection_quality,zeroshot
16,rtdetr-v2-m-coco-torch,2,0.7741013792487077,0.6579062083636237,220,detection_quality,zeroshot
16,rtdetr-v2-m-coco-torch,3,0.6822683408042788,0.6579062083636237,435,detection_quality,zeroshot
