version,cohort,level,n_images,mean
16,properties,1,0,
16,properties,2,58,0.6131066007638871
16,properties,3,163,0.46373766822800955
16,properties,4,278,0.4167209600160049
16,properties,5,1,0.5239158202338368
16,random,1,2,0.9847397315128703
16,random,2,220,0.7288787288983452
16,random,3,435,0.6096085256192214
16,random,4,341,0.49598181437339434
16,random,5,2,0.2980240484970096
17,properties,1,4,0.4993921622520896
17,properties,2,79,0.5549605999931487
17,properties,3,329,0.4514497519661579
17,properties,4,86,0.37909275593721076
17,properties,5,2,0.2766820071105186
17,random,1,29,0.7977156707032712
17,random,2,297,0.6949431320436552
17,random,3,593,0.5613603204158658
17,random,4,81,0.4297508714737732
17,random,5,0,
18,properties,1,4,0.5749894310065198
18,properties,2,75,0.5604794996094313
18,properties,3,341,0.4512746323181298
18,properties,4,80,0.36626494568673146
18,properties,5,0,
18,random,1,22,0.8617467009689346
18,random,2,310,0.6959054013061058
18,random,3,597,0.558349673134058
18,random,4,71,0.4113309658605982
18,random,5,0,
ionescu,properties,1,38,0.6547058274581535
ionescu,properties,2,64,0.5632037522699398
ionescu,properties,3,76,0.48493460889963363
ionescu,properties,4,115,0.4181696911553076
ionescu,properties,5,207,0.3944606720880952
ionescu,random,1,200,0.7405824137602999
ionescu,random,2,200,0.6587294395397341
ionescu,random,3,200,0.6029014504259226
ionescu,random,4,200,0.5316770527014698
ionescu,random,5,200,0.45225141988929607
ic9600,properties,1,59,0.557619760367764
ic9600,properties,2,65,0.48306731561565164
ic9600,properties,3,81,0.47770877780492194
ic9600,properties,4,86,0.4369378223981513
ic9600,properties,5,209,0.4160371309330099
ic9600,random,1,200,0.726605696348745
ic9600,random,2,200,0.6372837979981337
ic9600,random,3,200,0.569704484959108
ic9600,random,4,200,0.5654492995815559
ic9600,random,5,200,0.48709849742918004
