image_id,level,dataset,partition
001278,2,voc-2007,calibration
000971,3,voc-2007,calibration
002243,2,voc-2007,calibration
001799,2,voc-2007,calibration
002283,2,voc-2007,calibration
000347,3,voc-2007,calibration
000701,2,voc-2007,calibration
000009,2,voc-2007,calibration
001925,2,voc-2007,calibration
002312,1,voc-2007,calibration
001744,3,voc-2007,calibration
000541,4,voc-2007,calibration
002020,2,voc-2007,calibration
000952,3,voc-2007,calibration
001421,3,voc-2007,calibration
000227,3,voc-2007,calibration
001082,2,voc-2007,calibration
001494,2,voc-2007,calibration
000597,3,voc-2007,calibration
000371,3,voc-2007,calibration
001514,3,voc-2007,calibration
002053,4,voc-2007,calibration
002157,2,voc-2007,calibration
000340,3,voc-2007,calibration
000496,3,voc-2007,calibration
001833,2,voc-2007,calibration
002012,4,voc-2007,calibration
001699,3,voc-2007,calibration
001080,3,voc-2007,calibration
001403,2,voc-2007,calibration
002226,3,voc-2007,calibration
000942,3,voc-2007,calibration
000087,3,voc-2007,calibration
000159,3,voc-2007,calibration
001253,3,voc-2007,calibration
001202,2,voc-2007,calibration
000240,3,voc-2007,calibration
001856,4,voc-2007,calibration
000320,2,voc-2007,calibration
000381,3,voc-2007,calibration
001490,2,voc-2007,calibration
000455,3,voc-2007,calibration
000742,3,voc-2007,calibration
001293,3,voc-2007,calibration
001242,1,voc-2007,calibration
001728,3,voc-2007,calibration
001645,2,voc-2007,calibration
001723,2,voc-2007,calibration
000542,3,voc-2007,calibration
000430,4,voc-2007,calibration
000732,2,voc-2007,calibration
000344,3,voc-2007,calibration
001909,3,voc-2007,calibration
001521,2,voc-2007,calibration
002132,2,voc-2007,calibration
000124,4,voc-2007,calibration
001371,2,voc-2007,calibration
002404,2,voc-2007,calibration
000220,3,voc-2007,calibration
001002,1,voc-2007,calibration
001122,3,voc-2007,calibration
000896,3,voc-2007,calibration
000816,3,voc-2007,calibration
000808,2,voc-2007,calibration
001528,2,voc-2007,calibration
001140,3,voc-2007,calibration
000046,3,voc-2007,calibration
000607,2,voc-2007,calibration
001477,3,voc-2007,calibration
001618,2,voc-2007,calibration
001474,2,voc-2007,calibration
002205,2,voc-2007,calibration
002276,2,voc-2007,calibration
001776,3,voc-2007,calibration
000219,2,voc-2007,calibration
002326,2,voc-2007,calibration
000697,4,voc-2007,calibration
000847,2,voc-2007,calibration
000736,3,voc-2007,calibration
001512,3,voc-2007,calibration
000599,3,voc-2007,calibration
000705,3,voc-2007,calibration
002457,3,voc-2007,calibration
000756,3,voc-2007,calibration
000257,2,voc-2007,calibration
000123,3,voc-2007,calibration
002292,3,voc-2007,calibration
001271,2,voc-2007,calibration
000936,2,voc-2007,calibration
000957,2,voc-2007,calibration
001547,3,voc-2007,calibration
001887,2,voc-2007,calibration
002477,3,voc-2007,calibration
001779,2,voc-2007,calibration
001050,3,voc-2007,calibration
002037,3,voc-2007,calibration
001680,4,voc-2007,calibration
001127,3,voc-2007,calibration
000077,3,voc-2007,calibration
001655,2,voc-2007,calibration
000510,2,voc-2007,calibration
001472,3,voc-2007,calibration
000452,2,voc-2007,calibration
002070,2,voc-2007,calibration
000668,3,voc-2007,calibration
000584,2,voc-2007,calibration
000727,3,voc-2007,calibration
001123,2,voc-2007,calibration
000104,2,voc-2007,calibration
000521,2,voc-2007,calibration
002045,3,voc-2007,calibration
000805,2,voc-2007,calibration
001291,3,voc-2007,calibration
001053,2,voc-2007,calibration
000229,3,voc-2007,calibration
