image_id;level
001278;2
000971;3
002243;2
001799;2
002283;2
000347;3
000701;2
000009;2
001925;2
002312;1
001744;3
000541;4
002020;2
000952;3
001421;3
000227;3
001082;2
001494;2
000597;3
000371;3
001514;3
002053;4
002157;2
000340;3
000496;3
001833;2
002012;4
001699;3
001080;3
001403;2
002226;3
000942;3
000087;3
000159;3
001253;3
001202;2
000240;3
001856;4
000320;2
000381;3
001490;2
000455;3
000742;3
001293;3
001242;1
001728;3
001645;2
001723;2
000542;3
000430;4
000732;2
000344;3
001909;3
001521;2
002132;2
000124;4
001371;2
002404;2
000220;3
001002;1
001122;3
000896;3
000816;3
000808;2
001528;2
001140;3
000046;3
000607;2
001477;3
001618;2
001474;2
002205;2
002276;2
001776;3
000219;2
002326;2
000697;4
000847;2
000736;3
001512;3
000599;3
000705;3
002457;3
000756;3
000257;2
000123;3
002292;3
001271;2
000936;2
000957;2
001547;3
001887;2
002477;3
001779;2
001050;3
002037;3
001680;4
001127;3
000077;3
001655;2
000510;2
001472;3
000452;2
002070;2
000668;3
000584;2
000727;3
001123;2
000104;2
000521;2
002045;3
000805;2
001291;3
001053;2
000229;3
000250;2
001896;4
000316;2
000035;2
001979;2
001100;2
000905;2
002481;3
002182;2
002108;3
001804;3
001083;3
000446;2
002280;4
000304;2
001237;3
001637;2
002223;3
002437;3
002447;2
001772;4
000061;2
002059;4
000328;2
002015;3
001342;2
001855;3
000274;2
000556;3
000276;1
001137;2
000019;3
000932;4
001692;3
000368;3
002069;2
001458;3
001959;3
001335;2
002075;3
000730;2
001412;3
001097;2
000670;3
000198;2
001688;4
001218;2
000885;2
001648;2
000479;2
000809;3
000236;4
000197;2
002143;2
002299;2
000203;2
000838;2
000069;2
001775;2
001130;4
001296;3
001121;3
001219;2
000861;3
000354;3
000428;3
000434;3
000301;3
001437;3
000375;2
000755;2
002107;3
000480;2
000610;2
000958;2
002208;2
001301;2
000951;3
000333;4
000432;2
000385;4
000680;3
000762;3
001042;3
000823;3
000941;3
001084;2
002290;2
001670;2
000336;2
000011;3
002497;3
001718;2
001385;4
002187;1
001496;2
001290;2
001175;2
000139;3
001985;2
001664;3
001064;2
000401;4
001314;3
000661;3
001457;3
001334;3
002055;2
000686;2
000631;2
001869;2
002478;4
002459;2
000561;3
000564;3
000558;2
001235;3
002250;3
001402;2
000635;3
000072;2
000683;3
001690;3
001198;3
001375;2
001954;2
000100;2
001091;3
001627;3
001044;2
001561;3
001230;2
000201;3
001752;3
001099;4
001515;2
000015;2
002117;3
001347;2
001704;4
000944;4
001877;4
002307;3
001706;3
000867;3
002191;4
001650;4
002379;2
001102;2
002050;2
001870;2
001942;3
000978;4
002245;3
002282;2
002128;3
001577;2
001411;3
000079;4
001790;3
000901;3
001317;3
000376;2
002136;2
002351;3
000796;3
002196;2
001010;2
000567;3
001484;2
002081;2
001268;2
001075;3
001353;3
000098;4
002390;2
000676;4
001370;2
000821;4
000817;2
002004;3
001584;3
001553;2
001911;3
001541;2
000992;2
000779;2
002147;3
001001;3
001207;3
002215;4
001063;2
001641;3
002401;3
002186;2
002064;3
000185;2
000630;3
000547;3
000024;3
000216;3
001984;3
000803;3
001463;3
001769;3
000490;3
000175;4
002088;3
002335;3
000096;3
001254;2
001395;2
001224;2
002016;3
001022;4
000121;2
001416;2
001166;3
002385;2
002174;2
001520;2
000288;3
000033;3
001566;3
001751;3
001881;2
002014;2
001155;3
001860;2
000761;3
001552;3
002063;4
000158;3
001074;3
001939;3
001339;2
000188;2
000528;4
002353;2
000835;3
001884;2
001280;2
000655;2
001192;2
000167;3
002487;3
002242;3
000353;3
001384;2
001674;3
000748;3
000545;3
000926;2
001354;3
000677;3
002119;2
000883;3
000238;2
000960;3
001859;3
001646;2
002296;3
000461;3
001245;3
000291;4
000833;3
000010;2
001467;3
001920;3
000577;3
000543;3
001701;3
002263;2
002461;2
000092;4
001712;2
000566;4
001753;4
001609;3
001188;4
002239;2
000317;3
002417;3
001548;2
000614;2
001543;2
001669;2
002370;2
001742;2
000281;3
001666;4
000282;2
001007;2
001248;3
002455;3
001286;2
002194;4
001840;3
001380;4
001269;3
002054;3
001068;4
001644;2
000529;2
001265;3
001246;4
001459;4
001880;2
001816;3
002480;3
001491;3
001189;3
001297;2
002251;3
001518;3
002319;3
000196;3
001173;2
002376;3
001085;3
001834;3
002233;2
002349;2
001885;3
002421;2
001927;3
001511;3
001668;2
000062;3
000488;2
002446;3
002277;3
000214;1
001897;2
002438;3
001853;3
000530;3
001948;2
001918;3
001525;3
001393;3
001152;4
000075;2
002098;4
000975;4
001345;4
001094;2
001998;2
001126;3
001069;3
002479;2
000538;3
002140;3
001326;3
001832;3
001534;3
001355;3
000764;2
001634;2
000131;3
001003;3
001803;3
001217;2
000552;3
002378;4
001529;3
000494;4
002428;3
000949;3
000391;3
000088;2
000806;2
001227;2
000714;4
002105;4
000703;3
001034;4
001089;3
001404;2
000387;3
000917;2
000405;2
000237;3
000782;2
002465;2
