image_id,level,dataset,partition,prompt_strategy
000000372464,3,coco-rem,calibration,zeroshot
000000341111,3,coco-rem,calibration,zeroshot
000000338086,4,coco-rem,calibration,zeroshot
000000393493,3,coco-rem,calibration,zeroshot
000000382563,3,coco-rem,calibration,zeroshot
000000169228,3,coco-rem,calibration,zeroshot
000000106199,2,coco-rem,calibration,zeroshot
000000123330,3,coco-rem,calibration,zeroshot
000000252608,3,coco-rem,calibration,zeroshot
000000370310,2,coco-rem,calibration,zeroshot
000000175513,2,coco-rem,calibration,zeroshot
000000477259,4,coco-rem,calibration,zeroshot
000000452783,2,coco-rem,calibration,zeroshot
000000358429,4,coco-rem,calibration,zeroshot
000000385705,3,coco-rem,calibration,zeroshot
000000131427,3,coco-rem,calibration,zeroshot
000000163759,2,coco-rem,calibration,zeroshot
000000057892,2,coco-rem,calibration,zeroshot
000000179477,3,coco-rem,calibration,zeroshot
000000105468,3,coco-rem,calibration,zeroshot
000000211217,4,coco-rem,calibration,zeroshot
000000445087,4,coco-rem,calibration,zeroshot
000000447224,3,coco-rem,calibration,zeroshot
000000027412,3,coco-rem,calibration,zeroshot
000000281431,3,coco-rem,calibration,zeroshot
000000013355,4,coco-rem,calibration,zeroshot
000000084881,2,coco-rem,calibration,zeroshot
000000525880,2,coco-rem,calibration,zeroshot
000000455363,2,coco-rem,calibration,zeroshot
000000351621,2,coco-rem,calibration,zeroshot
000000069978,3,coco-rem,calibration,zeroshot
000000015190,4,coco-rem,calibration,zeroshot
000000110642,4,coco-rem,calibration,zeroshot
000000428263,3,coco-rem,calibration,zeroshot
000000460038,3,coco-rem,calibration,zeroshot
000000291898,4,coco-rem,calibration,zeroshot
000000385098,4,coco-rem,calibration,zeroshot
000000068866,4,coco-rem,calibration,zeroshot
000000397685,3,coco-rem,calibration,zeroshot
000000009668,3,coco-rem,calibration,zeroshot
000000082957,4,coco-rem,calibration,zeroshot
000000486503,2,coco-rem,calibration,zeroshot
000000581766,3,coco-rem,calibration,zeroshot
000000560254,3,coco-rem,calibration,zeroshot
000000389036,2,coco-rem,calibration,zeroshot
000000127153,4,coco-rem,calibration,zeroshot
000000298657,3,coco-rem,calibration,zeroshot
000000235547,2,coco-rem,calibration,zeroshot
000000322222,3,coco-rem,calibration,zeroshot
000000231460,4,coco-rem,calibration,zeroshot
000000226494,2,coco-rem,calibration,zeroshot
000000412510,3,coco-rem,calibration,zeroshot
000000087509,3,coco-rem,calibration,zeroshot
000000037638,4,coco-rem,calibration,zeroshot
000000157960,3,coco-rem,calibration,zeroshot
000000068235,3,coco-rem,calibration,zeroshot
000000540068,3,coco-rem,calibration,zeroshot
000000508430,2,coco-rem,calibration,zeroshot
000000329304,3,coco-rem,calibration,zeroshot
000000295269,4,coco-rem,calibration,zeroshot
000000225281,4,coco-rem,calibration,zeroshot
000000572786,3,coco-rem,calibration,zeroshot
000000498371,2,coco-rem,calibration,zeroshot
000000232001,3,coco-rem,calibration,zeroshot
000000209292,3,coco-rem,calibration,zeroshot
000000335874,2,coco-rem,calibration,zeroshot
000000409364,3,coco-rem,calibration,zeroshot
000000210322,4,coco-rem,calibration,zeroshot
000000293946,2,coco-rem,calibration,zeroshot
000000327368,3,coco-rem,calibration,zeroshot
000000562008,4,coco-rem,calibration,zeroshot
000000524956,4,coco-rem,calibration,zeroshot
000000088540,4,coco-rem,calibration,zeroshot
000000265253,4,coco-rem,calibration,zeroshot
000000053587,2,coco-rem,calibration,zeroshot
000000332420,2,coco-rem,calibration,zeroshot
000000202131,3,coco-rem,calibration,zeroshot
000000173447,3,coco-rem,calibration,zeroshot
000000430583,3,coco-rem,calibration,zeroshot
000000365353,4,coco-rem,calibration,zeroshot
000000223992,4,coco-rem,calibration,zeroshot
000000318240,4,coco-rem,calibration,zeroshot
000000243171,3,coco-rem,calibration,zeroshot
000000131825,3,coco-rem,calibration,zeroshot
000000368541,4,coco-rem,calibration,zeroshot
000000007890,3,coco-rem,calibration,zeroshot
000000459566,3,coco-rem,calibration,zeroshot
000000385272,4,coco-rem,calibration,zeroshot
000000131494,3,coco-rem,calibration,zeroshot
000000513946,3,coco-rem,calibration,zeroshot
000000056193,4,coco-rem,calibration,zeroshot
000000088162,4,coco-rem,calibration,zeroshot
000000483923,4,coco-rem,calibration,zeroshot
000000198312,4,coco-rem,calibration,zeroshot
000000259884,4,coco-rem,calibration,zeroshot
000000567764,3,coco-rem,calibration,zeroshot
000000406908,3,coco-rem,calibration,zeroshot
000000450543,3,coco-rem,calibration,zeroshot
000000012700,4,coco-rem,calibration,zeroshot
000000298405,4,coco-rem,calibration,zeroshot
000000320374,3,coco-rem,calibration,zeroshot
000000546480,3,coco-rem,calibration,zeroshot
000000218762,3,coco-rem,calibration,zeroshot
000000488796,2,coco-rem,calibration,zeroshot
000000210549,2,coco-rem,calibration,zeroshot
000000256031,3,coco-rem,calibration,zeroshot
000000044500,4,coco-rem,calibration,zeroshot
000000271943,2,coco-rem,calibration,zeroshot
000000439486,3,coco-rem,calibration,zeroshot
000000417219,4,coco-rem,calibration,zeroshot
000000191327,3,coco-rem,calibration,zeroshot
000000359357,4,coco-rem,calibration,zeroshot
000000370121,4,coco-rem,calibration,zeroshot
000000074060,3,coco-rem,calibration,zeroshot
000000492817,2,coco-rem,calibration,zeroshot
000000194921,3,coco-rem,calibration,zeroshot
000000105027,2,coco-rem,calibration,zeroshot
000000086139,3,coco-rem,calibration,zeroshot
000000287235,3,coco-rem,calibration,zeroshot
000000416202,2,coco-rem,calibration,zeroshot
000000061831,2,coco-rem,calibration,zeroshot
000000070829,3,coco-rem,calibration,zeroshot
000000430319,3,coco-rem,calibration,zeroshot
000000541493,3,coco-rem,calibration,zeroshot
000000182401,2,coco-rem,calibration,zeroshot
000000430281,3,coco-rem,calibration,zeroshot
000000067558,3,coco-rem,calibration,zeroshot
000000526085,3,coco-rem,calibration,zeroshot
000000334916,4,coco-rem,calibration,zeroshot
000000213268,4,coco-rem,calibration,zeroshot
000000466197,4,coco-rem,calibration,zeroshot
000000108862,2,coco-rem,calibration,zeroshot
000000080892,3,coco-rem,calibration,zeroshot
000000119787,3,coco-rem,calibration,zeroshot
000000124390,2,coco-rem,calibration,zeroshot
000000161897,4,coco-rem,calibration,zeroshot
000000137666,4,coco-rem,calibration,zeroshot
000000512436,4,coco-rem,calibration,zeroshot
000000030113,3,coco-rem,calibration,zeroshot
000000182527,3,coco-rem,calibration,zeroshot
000000118277,3,coco-rem,calibration,zeroshot
000000244844,4,coco-rem,calibration,zeroshot
000000206800,2,coco-rem,calibration,zeroshot
000000103746,4,coco-rem,calibration,zeroshot
000000118477,3,coco-rem,calibration,zeroshot
000000098904,4,coco-rem,calibration,zeroshot
000000480576,4,coco-rem,calibration,zeroshot
000000301950,3,coco-rem,calibration,zeroshot
000000445745,2,coco-rem,calibration,zeroshot
000000069587,3,coco-rem,calibration,zeroshot
000000268739,4,coco-rem,calibration,zeroshot
000000042069,3,coco-rem,calibration,zeroshot
000000264502,2,coco-rem,calibration,zeroshot
000000545293,2,coco-rem,calibration,zeroshot
000000352965,2,coco-rem,calibration,zeroshot
000000402759,4,coco-rem,calibration,zeroshot
000000502197,4,coco-rem,calibration,zeroshot
000000492183,3,coco-rem,calibration,zeroshot
000000342996,3,coco-rem,calibration,zeroshot
000000291788,4,coco-rem,calibration,zeroshot
000000432120,4,coco-rem,calibration,zeroshot
000000339105,3,coco-rem,calibration,zeroshot
000000288114,3,coco-rem,calibration,zeroshot
000000003729,2,coco-rem,calibration,zeroshot
000000184320,3,coco-rem,calibration,zeroshot
000000099389,2,coco-rem,calibration,zeroshot
000000018661,4,coco-rem,calibration,zeroshot
000000010711,4,coco-rem,calibration,zeroshot
