image_id;level
000000507927;4
000000361924;3
000000577821;2
000000545679;2
000000316269;3
000000492435;3
000000437994;3
000000468428;2
000000432019;4
000000237263;Level: 2
000000434183;2
000000579947;4
000000343954;3
000000556278;4
000000171970;3
000000377809;3
000000478880;2
000000476331;3
000000031653;2
000000048289;2
000000264599;4
000000073235;3
000000135348;3
000000225337;3
000000162682;2
000000204339;4
000000289816;3
000000521225;3
000000276975;3
000000159561;3
000000538615;3
000000093419;Level: 3
000000053339;3
000000346503;3
000000345155;2
000000274528;4
000000363494;2
000000028682;3
000000069884;3
000000228215;3
000000372363;4
000000404229;3
000000408779;4
000000481113;3
000000035076;3
000000075065;2
000000249982;3
000000033891;3
000000077750;Level: 2
000000117337;4
000000500356;2
000000419297;4
000000160652;2
000000557610;2
000000421875;Level: 3
000000579629;2
000000151954;4
000000221927;3
000000059744;3
000000214305;Level: 3
000000245450;2
000000270912;3
000000081930;4
000000570947;2
000000285342;4
000000099245;3
000000231987;4
000000521711;4
000000339512;3
000000404424;3
000000196170;4
000000388126;1
000000530999;4
000000476993;2
000000393422;2
000000145994;3
000000404546;3
000000447785;3
000000434413;Level: 2
000000186405;4
000000316879;4
000000151432;2
000000028506;4
000000057969;1
000000096514;2
000000090137;3
000000299042;2
000000009142;2
000000219842;3
000000330696;4
000000055849;2
000000137072;4
000000390334;2
000000147798;2
000000568653;4
000000113588;3
000000486002;Level: 3
000000195896;3
000000161312;3
000000298418;3
000000350514;3
000000203400;2
000000317806;4
000000447765;1
000000213536;2
000000371822;4
000000466533;2
000000185837;2
000000310633;3
000000511393;3
000000020925;3
000000036739;Level: 3
000000480057;4
000000136002;2
000000170780;3
000000267349;3
000000378613;3
000000440726;3
000000433545;4
000000493953;Level: 2
000000504306;3
000000051862;3
000000563606;2
000000324688;4
000000401541;2
000000252314;Level: 3
000000189404;3
000000298481;4
000000398454;2
000000471409;3
000000574248;4
000000360400;4
000000140919;4
000000341868;4
000000111142;3
000000406895;3
000000426675;3
000000471981;4
000000561027;3
000000407864;Level: 2
000000413334;2
000000110901;3
000000364691;4
000000323734;2
000000033901;3
000000268731;3
000000115681;3
000000565932;3
000000314125;3
000000201010;2
000000052527;3
000000553297;2
000000355124;2
000000231889;3
000000247167;3
000000164772;4
000000198079;3
000000207219;2
000000532768;3
000000198798;3
000000015968;2
000000533039;3
000000483285;3
000000002142;4
000000295359;2
000000225543;2
000000500904;2
000000460458;3
000000329940;2
000000501694;2
000000121651;4
000000286720;3
000000363100;4
000000246576;2
000000204867;3
000000327768;3
000000395840;4
000000373997;3
000000481267;2
000000159392;3
000000174499;3
000000245825;3
000000052320;3
000000049851;2
000000193095;4
000000213586;2
000000192747;2
000000097099;3
000000500457;4
000000062464;4
000000489100;4
000000106722;3
000000409016;3
000000581065;4
000000183809;3
000000257575;2
000000338838;2
000000293293;3
000000044454;3
000000500139;3
000000339715;2
000000530287;2
000000406071;4
000000349410;3
000000031339;4
000000280370;4
000000553852;2
000000122231;2
000000542048;4
000000514790;3
000000321410;3
000000005174;2
000000275608;4
000000469294;4
000000317131;2
000000169211;3
000000561903;Level: 3
000000248476;2
000000180389;2
000000270708;2
