image_id,level,dataset,partition,prompt_strategy
000000372464,3.0,coco-rem,calibration,zeroshot
000000341111,2.0,coco-rem,calibration,zeroshot
000000338086,4.0,coco-rem,calibration,zeroshot
000000393493,3.0,coco-rem,calibration,zeroshot
000000382563,3.0,coco-rem,calibration,zeroshot
000000169228,2.0,coco-rem,calibration,zeroshot
000000106199,2.0,coco-rem,calibration,zeroshot
000000123330,2.0,coco-rem,calibration,zeroshot
000000252608,2.0,coco-rem,calibration,zeroshot
000000370310,2.0,coco-rem,calibration,zeroshot
000000175513,3.0,coco-rem,calibration,zeroshot
000000477259,4.0,coco-rem,calibration,zeroshot
000000385705,3.0,coco-rem,calibration,zeroshot
000000452783,2.0,coco-rem,calibration,zeroshot
000000358429,3.0,coco-rem,calibration,zeroshot
000000131427,3.0,coco-rem,calibration,zeroshot
000000084881,3.0,coco-rem,calibration,zeroshot
000000105468,3.0,coco-rem,calibration,zeroshot
000000163759,2.0,coco-rem,calibration,zeroshot
000000445087,3.0,coco-rem,calibration,zeroshot
000000057892,3.0,coco-rem,calibration,zeroshot
000000179477,2.0,coco-rem,calibration,zeroshot
000000211217,4.0,coco-rem,calibration,zeroshot
000000447224,2.0,coco-rem,calibration,zeroshot
000000027412,4.0,coco-rem,calibration,zeroshot
000000281431,3.0,coco-rem,calibration,zeroshot
000000013355,3.0,coco-rem,calibration,zeroshot
000000455363,2.0,coco-rem,calibration,zeroshot
000000525880,2.0,coco-rem,calibration,zeroshot
000000069978,3.0,coco-rem,calibration,zeroshot
000000428263,4.0,coco-rem,calibration,zeroshot
000000351621,2.0,coco-rem,calibration,zeroshot
000000015190,4.0,coco-rem,calibration,zeroshot
000000110642,3.0,coco-rem,calibration,zeroshot
000000291898,4.0,coco-rem,calibration,zeroshot
000000460038,2.0,coco-rem,calibration,zeroshot
000000560254,2.0,coco-rem,calibration,zeroshot
000000068866,4.0,coco-rem,calibration,zeroshot
000000385098,4.0,coco-rem,calibration,zeroshot
000000581766,2.0,coco-rem,calibration,zeroshot
000000397685,4.0,coco-rem,calibration,zeroshot
000000009668,3.0,coco-rem,calibration,zeroshot
000000082957,,coco-rem,calibration,zeroshot
