image_id;level
000000507927;3
000000361924;3
000000577821;1
000000545679;2
000000316269;2
000000492435;1
000000437994;3
000000468428;2
000000432019;3
000000237263;2
000000434183;2
000000579947;2
000000343954;3
000000556278;4
000000171970;3
000000377809;3
000000478880;2
000000476331;2
000000031653;1
000000048289;2
000000264599;3
000000073235;2
000000135348;3
000000225337;1
000000162682;2
000000204339;3
000000289816;2
000000521225;3
000000276975;2
000000159561;3
000000538615;3
000000093419;3
000000053339;3
000000346503;3
000000345155;1
000000274528;3
000000363494;1
000000028682;2
000000069884;2
000000228215;2
000000372363;3
000000404229;2
000000408779;2
000000481113;2
000000035076;2
000000075065;1
000000249982;2
000000033891;3
000000077750;2
000000117337;3
000000500356;2
000000419297;3
000000160652;2
000000557610;2
000000421875;2
000000579629;1
000000151954;3
000000221927;2
000000059744;2
000000214305;2
000000245450;2
000000270912;2
000000081930;3
000000570947;2
000000285342;4
000000099245;1
000000231987;4
000000521711;4
000000339512;3
000000404424;1
000000196170;3
000000388126;1
000000530999;3
000000476993;1
000000393422;1
000000145994;3
000000404546;3
000000447785;2
000000434413;2
000000186405;3
000000316879;3
000000151432;2
000000028506;3
000000057969;1
000000096514;1
000000090137;2
000000299042;2
000000009142;1
000000219842;2
000000330696;3
000000055849;1
000000137072;3
000000390334;2
000000147798;1
000000568653;3
000000113588;3
000000486002;2
000000195896;2
000000161312;3
000000298418;2
000000350514;3
000000203400;1
000000317806;4
000000447765;1
000000213536;2
000000371822;3
000000466533;2
000000185837;3
000000310633;2
000000511393;2
000000020925;3
000000036739;2
000000480057;4
000000136002;2
000000170780;3
000000267349;3
000000378613;3
000000440726;3
000000433545;3
000000493953;3
000000504306;2
000000051862;3
000000563606;2
000000324688;3
000000401541;2
000000252314;3
000000189404;2
000000298481;2
000000398454;1
000000471409;3
000000574248;3
000000360400;4
000000140919;3
000000341868;3
000000111142;3
000000406895;2
000000426675;2
000000471981;4
000000561027;2
000000407864;3
000000413334;2
000000110901;3
000000364691;3
000000323734;2
000000033901;2
000000268731;3
000000115681;3
000000565932;2
000000314125;2
000000201010;1
000000052527;2
000000553297;2
000000355124;1
000000231889;3
000000247167;3
000000164772;3
000000198079;2
000000207219;2
000000532768;2
000000198798;2
000000015968;1
000000533039;3
000000483285;3
000000002142;4
000000295359;2
000000225543;1
000000500904;2
000000460458;3
000000329940;1
000000501694;2
000000121651;3
000000286720;1
000000363100;3
000000246576;2
000000204867;2
000000327768;2
000000395840;3
000000373997;2
000000481267;2
000000159392;2
000000174499;3
000000245825;2
000000052320;3
000000049851;2
000000193095;3
000000213586;1
000000192747;1
000000097099;3
000000500457;3
000000062464;3
000000489100;3
000000106722;2
000000409016;2
000000581065;4
000000183809;1
000000257575;1
000000338838;1
000000293293;3
000000044454;3
000000500139;2
000000339715;2
000000530287;1
000000406071;3
000000349410;1
000000031339;3
000000280370;3
000000553852;2
000000122231;2
000000542048;3
000000514790;3
000000321410;2
000000005174;1
000000275608;3
000000469294;4
000000317131;2
000000169211;3
000000561903;3
000000248476;1
000000180389;1
000000270708;2
000000498738;2
000000422677;1
000000449944;2
000000306803;2
000000339987;2
000000255213;2
000000303538;3
000000196460;3
000000209380;1
000000401455;3
000000216072;3
000000579752;3
000000398067;1
000000525971;4
000000076254;3
000000386032;2
000000125769;3
000000374846;3
000000302945;2
000000223078;2
000000182317;2
000000075032;2
000000336286;2
000000450897;3
000000407783;3
000000196320;1
000000471871;1
000000198930;1
000000427163;2
000000129370;3
000000460964;2
000000050695;3
000000517869;1
000000578591;3
000000376196;1
000000153727;3
000000030289;2
000000504654;3
000000052498;1
000000099583;3
000000251124;3
000000112372;3
000000384482;1
000000260838;1
000000528756;3
000000452113;2
000000229975;3
000000041482;3
000000061734;3
000000538963;1
000000399939;3
000000162741;2
000000131300;2
000000203667;1
000000313097;4
000000410084;1
000000114784;2
000000351726;2
000000157032;2
000000270070;3
000000212675;2
000000529886;4
000000504099;3
000000057323;2
000000567949;4
000000548538;2
000000215357;2
000000287322;2
000000154656;1
000000568554;2
000000094859;2
000000470880;2
000000501299;2
000000522813;2
000000455808;3
000000166344;3
000000401336;2
000000192577;2
000000278763;3
000000205693;1
000000511341;3
000000261617;2
000000452783;3
000000435686;3
000000530417;3
000000262862;1
000000412365;1
000000072899;3
000000208479;1
000000502419;2
000000288654;2
000000301344;1
000000353694;1
000000359959;1
000000116708;2
000000062053;3
000000188515;3
000000128299;2
000000303144;1
000000342206;3
000000064629;1
000000119854;3
000000212197;3
000000473616;3
000000300580;2
000000221474;3
000000205308;3
000000580152;1
000000022420;
000000126299;4
000000182773;3
000000490654;1
000000542755;1
000000426705;3
000000495079;2
000000443209;1
000000226374;3
000000164680;2
000000322212;2
000000187533;3
000000369331;2
000000534914;2
000000398183;2
000000216026;
000000127751;2
000000573830;3
000000266273;3
000000053458;2
000000543618;2
000000261906;1
000000452470;3
000000223474;2
000000465693;2
000000053546;3
000000114177;3
000000161771;2
000000039998;4
000000352814;2
000000321262;2
000000374062;3
000000345658;1
000000130740;3
000000101431;3
000000526732;3
000000288347;1
000000369153;1
000000569742;3
000000141330;2
000000117028;2
000000253784;3
000000080260;3
000000212714;2
000000096466;1
000000524500;4
000000325369;3
000000235319;2
000000339793;2
000000536575;3
000000189425;2
000000456708;4
000000521361;3
000000400710;2
000000412491;3
000000279957;2
000000226348;2
000000089128;3
000000003386;1
000000089378;1
000000276634;2
000000029751;2
000000366179;2
000000288639;2
000000110002;4
000000063408;3
000000115043;3
000000351621;1
000000442414;1
000000192437;2
000000289107;1
000000179811;1
000000341752;1
000000215223;2
000000485710;3
000000223776;1
000000236279;2
000000316181;2
000000250599;3
000000046473;2
000000389445;3
000000528900;2
000000123975;3
000000225731;1
000000414754;1
000000512912;1
000000469912;2
000000137595;3
000000376046;2
000000536374;3
000000058021;3
000000507237;1
000000362722;1
000000252768;2
000000036547;2
000000271422;3
000000017967;3
000000504598;1
000000042347;2
000000389729;2
000000033408;2
000000501936;2
000000388123;2
000000224537;2
000000424823;2
000000203965;3
000000129037;2
000000381972;3
000000024402;2
000000121929;2
000000091460;2
000000500650;3
000000504868;2
000000004392;2
000000205604;2
000000400286;2
000000331409;4
000000015518;3
000000099299;2
000000509700;3
000000472432;3
000000224670;3
000000532414;2
000000091911;4
000000019136;2
000000544260;2
000000335844;2
000000164183;2
000000288227;3
000000367005;1
000000385687;3
000000038572;3
000000154783;3
000000205547;4
000000510150;3
000000561814;2
000000082844;1
000000296099;3
000000528882;1
000000413079;2
000000130163;2
000000064103;2
000000046038;2
000000273841;2
000000127235;3
000000206909;2
000000241559;3
000000527899;1
000000106834;1
000000046869;1
000000071596;3
000000073141;3
000000433993;2
000000272970;3
000000157109;2
000000405283;3
000000190884;2
000000111235;3
000000107108;3
000000065616;2
000000405531;1
000000513900;2
000000412876;3
000000071301;4
000000122981;2
000000344703;2
000000056132;2
000000017438;1
000000576944;2
000000324866;3
000000576749;4
000000511075;2
