image_id;level
001278;1
000971;2
002243;1
001799;3
002283;2
000347;2
000701;1
000009;1
001925;2
002312;1
001744;3
000541;3
002020;3
000952;1
001421;2
000227;2
001082;2
001494;2
000597;3
000371;4
001514;3
002053;3
002157;2
000340;2
000496;3
001833;1
002012;3
001699;2
001080;3
001403;2
002226;2
000942;2
000087;1
000159;1
001253;2
001202;1
000240;3
001856;3
000320;1
000381;3
001490;2
000455;2
000742;3
001293;3
001242;1
001728;3
001645;2
001723;3
000542;3
000430;4
000732;2
000344;2
001909;3
001521;2
002132;2
000124;3
001371;1
002404;2
000220;3
001002;1
001122;2
000896;3
000816;3
000808;3
001528;2
001140;2
000046;2
000607;1
001477;3
001618;2
001474;3
002205;1
002276;3
001776;3
000219;2
002326;2
000697;3
000847;1
000736;4
001512;3
000599;1
000705;3
002457;3
000756;2
000257;2
000123;3
002292;2
001271;2
000936;2
000957;3
001547;2
001887;3
002477;2
001779;2
001050;1
002037;2
001680;3
001127;3
000077;2
001655;3
000510;2
001472;3
000452;2
002070;1
000668;3
000584;2
000727;3
001123;2
000104;1
000521;2
002045;2
000805;2
001291;2
001053;1
000229;2
000250;2
001896;3
000316;1
000035;1
001979;3
001100;1
000905;2
002481;2
002182;2
002108;3
001804;2
001083;2
000446;2
002280;3
000304;1
001237;2
001637;2
002223;3
002437;2
002447;2
001772;4
000061;2
002059;3
000328;2
002015;3
001342;2
001855;3
000274;2
000556;2
000276;2
001137;2
000019;4
000932;3
001692;2
000368;2
002069;2
001458;2
001959;1
001335;1
002075;2
000730;2
001412;3
001097;3
000670;3
000198;2
001688;3
001218;1
000885;2
001648;1
000479;1
000809;2
000236;3
000197;2
002143;1
002299;2
000203;1
000838;1
000069;3
001775;1
001130;3
001296;2
001121;2
001219;2
000861;2
000354;3
000428;2
000434;1
000301;3
001437;2
000375;2
000755;2
002107;2
000480;2
000610;3
000958;1
002208;3
001301;2
000951;2
000333;3
000432;3
000385;3
000680;2
000762;3
001042;2
000823;2
000941;2
001084;2
002290;1
001670;2
000336;2
000011;2
002497;2
001718;3
001385;3
002187;1
001496;3
001290;1
001175;2
000139;2
001985;1
001664;2
001064;2
000401;4
001314;2
000661;3
001457;2
001334;3
002055;2
000686;2
000631;2
001869;2
002478;4
002459;1
000561;2
000564;2
000558;2
001235;3
002250;3
001402;3
000635;3
000072;1
000683;3
001690;1
001198;3
001375;2
001954;2
000100;3
001091;2
001627;3
001044;2
001561;3
001230;2
000201;3
001752;1
001099;3
001515;3
000015;1
002117;2
001347;2
001704;3
000944;3
001877;3
002307;3
001706;3
000867;2
002191;3
001650;3
002379;1
001102;2
002050;1
001870;2
001942;3
000978;3
002245;1
002282;1
002128;2
001577;2
001411;2
000079;3
001790;2
000901;2
001317;2
000376;2
002136;2
002351;2
000796;2
002196;1
001010;1
000567;2
001484;2
002081;2
001268;3
001075;2
001353;3
000098;4
002390;2
000676;3
001370;1
000821;4
000817;1
002004;3
001584;2
001553;2
001911;3
001541;1
000992;2
000779;1
002147;3
001001;2
001207;3
002215;3
001063;1
001641;2
002401;3
002186;1
002064;2
000185;1
000630;2
000547;2
000024;3
000216;2
001984;1
000803;3
001463;2
001769;2
000490;2
000175;3
002088;3
002335;
000096;2
001254;2
001395;2
001224;3
002016;2
001022;3
000121;1
001416;2
001166;2
002385;2
002174;1
001520;2
000288;2
000033;2
001566;3
001751;3
001881;2
002014;1
001155;3
001860;2
000761;2
001552;2
002063;3
000158;2
001074;3
001939;3
001339;1
000188;2
000528;4
002353;2
000835;3
001884;1
001280;2
000655;2
001192;1
000167;3
002487;2
002242;2
000353;2
001384;1
001674;2
000748;3
000545;2
000926;1
001354;2
000677;2
002119;1
000883;4
000238;1
000960;2
001859;
001646;1
002296;3
000461;2
001245;2
000291;4
000833;2
000010;2
001467;3
001920;3
000577;3
000543;2
001701;3
002263;1
002461;1
000092;3
001712;2
000566;4
001753;3
001609;2
001188;3
002239;2
000317;3
002417;2
001548;2
000614;1
001543;3
001669;2
002370;2
001742;2
000281;3
001666;3
000282;2
001007;2
001248;2
002455;3
001286;2
002194;3
001840;2
001380;2
001269;3
002054;2
001068;3
001644;2
000529;2
001265;3
001246;3
001459;3
001880;3
001816;3
002480;3
001491;2
001189;3
001297;1
002251;3
001518;2
002319;3
000196;2
001173;2
002376;3
001085;3
001834;3
002233;2
002349;1
001885;2
002421;1
001927;2
001511;3
001668;2
000062;2
000488;2
002446;2
002277;2
000214;1
001897;2
002438;2
001853;3
000530;1
001948;2
001918;3
001525;2
001393;2
001152;3
000075;1
002098;3
000975;3
001345;3
001094;2
001998;2
001126;3
001069;3
002479;2
000538;3
002140;3
001326;2
001832;3
001534;3
001355;2
000764;1
001634;1
000131;2
001003;3
001803;3
001217;1
000552;3
002378;4
001529;2
000494;4
002428;1
000949;3
000391;2
000088;2
000806;2
001227;2
000714;3
002105;3
000703;2
001034;4
001089;3
001404;3
000387;2
000917;2
000405;2
000237;3
000782;1
002465;1
