dataset,image_id,complexity
coco-rem,000000000761,0.6150745
coco-rem,000000001591,0.5011143
coco-rem,000000001756,0.8067851
coco-rem,000000001903,0.367964
coco-rem,000000002179,0.5538812
coco-rem,000000002283,0.4968579
coco-rem,000000002608,0.56224066
coco-rem,000000002764,0.5390183
coco-rem,000000003389,0.41062078
coco-rem,000000003729,0.41716304
coco-rem,000000004309,0.42219713
coco-rem,000000004489,0.4892608
coco-rem,000000004904,0.5937663
coco-rem,000000006101,0.57060283
coco-rem,000000006263,0.31685713
coco-rem,000000006409,0.49121442
coco-rem,000000006426,0.49064404
coco-rem,000000006451,0.32711998
coco-rem,000000006753,0.75169045
coco-rem,000000007625,0.49356785
coco-rem,000000007735,0.5916295
coco-rem,000000007890,0.40095752
coco-rem,000000008006,0.5933602
coco-rem,000000008188,0.53519875
coco-rem,000000008599,0.5707045
coco-rem,000000009668,0.39966404
coco-rem,000000010711,0.57345605
coco-rem,000000010785,0.46158564
coco-rem,000000011209,0.59135914
coco-rem,000000011265,0.6803142
coco-rem,000000011320,0.64404917
coco-rem,000000011349,0.5059988
coco-rem,000000012096,0.3104916
coco-rem,000000012455,0.39424035
coco-rem,000000012497,0.36344698
coco-rem,000000012700,0.6785365
coco-rem,000000012884,0.47528827
coco-rem,000000013292,0.64713204
coco-rem,000000013355,0.5340946
coco-rem,000000013900,0.41491193
coco-rem,000000013985,0.5717568
coco-rem,000000014857,0.44182825
coco-rem,000000014941,0.5134257
coco-rem,000000015190,0.56668204
coco-rem,000000015451,0.5965463
coco-rem,000000015586,0.47063586
coco-rem,000000015826,0.50207704
coco-rem,000000015919,0.56809586
coco-rem,000000016362,0.4177064
coco-rem,000000016523,0.4514829
coco-rem,000000017966,0.5052793
coco-rem,000000018267,0.3546538
coco-rem,000000018661,0.5638004
coco-rem,000000018819,0.43355888
coco-rem,000000019157,0.49254075
coco-rem,000000019375,0.5856783
coco-rem,000000019589,0.5034613
coco-rem,000000019781,0.40850016
coco-rem,000000020781,0.53377897
coco-rem,000000021674,0.49069032
coco-rem,000000021968,0.56291884
coco-rem,000000022403,0.568972
coco-rem,000000022482,0.44293192
coco-rem,000000022593,0.62376875
coco-rem,000000022741,0.5864248
coco-rem,000000023035,0.6094086
coco-rem,000000024264,0.49650273
coco-rem,000000024368,0.57242316
coco-rem,000000024923,0.6418695
coco-rem,000000025123,0.3023634
coco-rem,000000025758,0.46818045
coco-rem,000000026436,0.5051524
coco-rem,000000026512,0.23886293
coco-rem,000000026654,0.50241417
coco-rem,000000026833,0.44939482
coco-rem,000000027343,0.53782403
coco-rem,000000027412,0.53001386
coco-rem,000000027539,0.5347155
coco-rem,000000027642,0.6922682
coco-rem,000000027710,0.6164135
coco-rem,000000027776,0.49029115
coco-rem,000000028010,0.50321794
coco-rem,000000028588,0.5590527
coco-rem,000000028698,0.5206924
coco-rem,000000028806,0.57251656
coco-rem,000000029593,0.5261465
coco-rem,000000030113,0.54385626
coco-rem,000000030210,0.5259956
coco-rem,000000030548,0.2598098
coco-rem,000000030852,0.46590883
coco-rem,000000031653,0.38479146
coco-rem,000000032044,0.45661268
coco-rem,000000033172,0.7098132
coco-rem,000000033476,0.5465169
coco-rem,000000034097,0.5953012
coco-rem,000000034475,0.60360265
coco-rem,000000035004,0.6284838
coco-rem,000000035696,0.5268337
coco-rem,000000035725,0.51436305
coco-rem,000000036433,0.4201197
coco-rem,000000037401,0.41343608
coco-rem,000000037527,0.71591085
coco-rem,000000037638,0.6382142
coco-rem,000000037717,0.58874935
coco-rem,000000038053,0.5762501
coco-rem,000000039399,0.45582265
coco-rem,000000040407,0.53361994
coco-rem,000000040874,0.581214
coco-rem,000000041913,0.6282103
coco-rem,000000042044,0.44473702
coco-rem,000000042069,0.4759598
