dataset,image_id,count,log_count
coco-rem,000000000761,18,2.9444389791664403
coco-rem,000000001591,9,2.3025850929940455
coco-rem,000000001756,92,4.532599493153255
coco-rem,000000001903,2,1.0986122886681096
coco-rem,000000002179,11,2.4849066497880004
coco-rem,000000002283,17,2.8903717578961645
coco-rem,000000002608,61,4.127134385045092
coco-rem,000000002764,7,2.0794415416798357
coco-rem,000000003389,2,1.0986122886681096
coco-rem,000000003729,3,1.3862943611198906
coco-rem,000000004309,5,1.791759469228055
coco-rem,000000004489,13,2.6390573296152584
coco-rem,000000004904,28,3.3672958299864737
coco-rem,000000006101,24,3.2188758248682006
coco-rem,000000006263,7,2.0794415416798357
coco-rem,000000006409,2,1.0986122886681096
coco-rem,000000006426,4,1.6094379124341003
coco-rem,000000006451,3,1.3862943611198906
coco-rem,000000006753,100,4.61512051684126
coco-rem,000000007625,11,2.4849066497880004
coco-rem,000000007735,10,2.3978952727983707
coco-rem,000000007890,9,2.3025850929940455
coco-rem,000000008006,6,1.9459101490553132
coco-rem,000000008188,24,3.2188758248682006
coco-rem,000000008599,10,2.3978952727983707
coco-rem,000000009668,9,2.3025850929940455
coco-rem,000000010711,22,3.1354942159291497
coco-rem,000000010785,5,1.791759469228055
coco-rem,000000011209,20,3.044522437723423
coco-rem,000000011265,32,3.4965075614664802
coco-rem,000000011320,17,2.8903717578961645
coco-rem,000000011349,7,2.0794415416798357
coco-rem,000000012096,3,1.3862943611198906
coco-rem,000000012455,7,2.0794415416798357
coco-rem,000000012497,41,3.737669618283368
coco-rem,000000012700,42,3.7612001156935624
coco-rem,000000012884,2,1.0986122886681096
coco-rem,000000013292,8,2.197224577336219
coco-rem,000000013355,5,1.791759469228055
coco-rem,000000013900,4,1.6094379124341003
coco-rem,000000013985,36,3.6109179126442243
coco-rem,000000014857,3,1.3862943611198906
coco-rem,000000014941,3,1.3862943611198906
coco-rem,000000015190,10,2.3978952727983707
coco-rem,000000015451,22,3.1354942159291497
coco-rem,000000015586,3,1.3862943611198906
coco-rem,000000015826,10,2.3978952727983707
coco-rem,000000015919,12,2.5649493574615367
coco-rem,000000016362,16,2.833213344056216
coco-rem,000000016523,12,2.5649493574615367
coco-rem,000000017966,1,0.6931471805599453
coco-rem,000000018267,1,0.6931471805599453
coco-rem,000000018661,6,1.9459101490553132
coco-rem,000000018819,5,1.791759469228055
coco-rem,000000019157,7,2.0794415416798357
coco-rem,000000019375,8,2.197224577336219
coco-rem,000000019589,18,2.9444389791664403
coco-rem,000000019781,3,1.3862943611198906
coco-rem,000000020781,12,2.5649493574615367
coco-rem,000000021674,2,1.0986122886681096
coco-rem,000000021968,6,1.9459101490553132
coco-rem,000000022403,6,1.9459101490553132
coco-rem,000000022482,5,1.791759469228055
coco-rem,000000022593,9,2.3025850929940455
coco-rem,000000022741,27,3.332204510175204
coco-rem,000000023035,1,0.6931471805599453
coco-rem,000000024264,2,1.0986122886681096
coco-rem,000000024368,12,2.5649493574615367
coco-rem,000000024923,2,1.0986122886681096
coco-rem,000000025123,2,1.0986122886681096
coco-rem,000000025758,5,1.791759469228055
coco-rem,000000026436,4,1.6094379124341003
coco-rem,000000026512,3,1.3862943611198906
coco-rem,000000026654,2,1.0986122886681096
coco-rem,000000026833,16,2.833213344056216
coco-rem,000000027343,6,1.9459101490553132
coco-rem,000000027412,16,2.833213344056216
coco-rem,000000027539,9,2.3025850929940455
coco-rem,000000027642,21,3.0910424533583156
coco-rem,000000027710,50,3.9318256327243257
coco-rem,000000027776,6,1.9459101490553132
coco-rem,000000028010,8,2.197224577336219
coco-rem,000000028588,8,2.197224577336219
coco-rem,000000028698,7,2.0794415416798357
coco-rem,000000028806,8,2.197224577336219
coco-rem,000000029593,5,1.791759469228055
coco-rem,000000030113,8,2.197224577336219
coco-rem,000000030210,7,2.0794415416798357
coco-rem,000000030548,2,1.0986122886681096
coco-rem,000000030852,4,1.6094379124341003
coco-rem,000000031653,2,1.0986122886681096
coco-rem,000000032044,7,2.0794415416798357
coco-rem,000000033172,24,3.2188758248682006
coco-rem,000000033476,7,2.0794415416798357
coco-rem,000000034097,18,2.9444389791664403
coco-rem,000000034475,27,3.332204510175204
coco-rem,000000035004,21,3.0910424533583156
coco-rem,000000035696,16,2.833213344056216
coco-rem,000000035725,19,2.995732273553991
coco-rem,000000036433,8,2.197224577336219
coco-rem,000000037401,9,2.3025850929940455
coco-rem,000000037527,99,4.605170185988091
coco-rem,000000037638,117,4.770684624465664
coco-rem,000000037717,8,2.197224577336219
coco-rem,000000038053,4,1.6094379124341003
coco-rem,000000039399,4,1.6094379124341003
coco-rem,000000040407,25,3.2580965380214817
coco-rem,000000040874,24,3.2188758248682006
coco-rem,000000041913,21,3.0910424533583156
coco-rem,000000042044,10,2.3978952727983707
coco-rem,000000042069,11,2.4849066497880004
coco-rem,000000042204,27,3.332204510175204
coco-rem,000000042526,6,1.9459101490553132
coco-rem,000000043226,9,2.3025850929940455
coco-rem,000000043393,79,4.382026634673881
coco-rem,000000043611,2,1.0986122886681096
coco-rem,000000043933,4,1.6094379124341003
coco-rem,000000044178,11,2.4849066497880004
coco-rem,000000044488,32,3.4965075614664802
coco-rem,000000044500,11,2.4849066497880004
coco-rem,000000044523,1,0.6931471805599453
coco-rem,000000045479,10,2.3978952727983707
coco-rem,000000045840,5,1.791759469228055
coco-rem,000000046085,7,2.0794415416798357
coco-rem,000000046809,4,1.6094379124341003
coco-rem,000000047898,17,2.8903717578961645
coco-rem,000000047952,8,2.197224577336219
coco-rem,000000048719,9,2.3025850929940455
coco-rem,000000049095,13,2.6390573296152584
coco-rem,000000049175,3,1.3862943611198906
coco-rem,000000049369,2,1.0986122886681096
