image_id,value
000000001591,9
000000002179,11
000000001756,92
000000001903,2
000000002764,7
000000000761,18
000000003389,2
000000003729,3
000000002283,17
000000002608,61
000000004904,28
000000004489,13
000000006409,2
000000004309,5
000000006263,7
000000006451,3
000000006426,4
000000006101,24
000000007625,11
000000008006,6
000000006753,100
000000007890,9
000000007735,10
000000008599,10
000000010785,5
000000008188,24
000000011209,20
000000009668,9
000000010711,22
000000011349,7
000000011265,32
000000012455,7
000000011320,17
000000012884,2
000000012700,42
000000012096,3
000000012497,41
000000013292,8
000000013355,5
000000014857,3
000000014941,3
000000013900,4
000000015586,3
000000015451,22
000000013985,36
000000015826,10
000000016362,16
000000015190,10
000000017966,1
000000018267,1
000000015919,12
000000018819,5
000000018661,6
000000019157,7
000000016523,12
000000019375,8
000000019589,18
000000020781,12
000000019781,3
000000022482,5
000000022403,6
000000022593,9
000000023035,1
000000024264,2
000000021674,2
000000021968,6
000000022741,27
000000025123,2
000000026436,4
000000026512,3
000000024923,2
000000024368,12
000000026654,2
000000025758,5
000000026833,16
000000027343,6
000000027539,9
000000027412,16
000000027710,50
000000027642,21
000000028698,7
000000028010,8
000000027776,6
000000028588,8
000000030113,8
000000028806,8
000000030210,7
000000031653,2
000000030852,4
000000029593,5
000000033476,7
000000033172,24
000000030548,2
000000032044,7
000000034097,18
000000034475,27
000000035725,19
000000035004,21
000000037401,9
000000035696,16
000000036433,8
000000038053,4
000000037717,8
000000037527,99
000000039399,4
000000037638,117
000000040407,25
000000041913,21
000000042204,27
000000042526,6
000000040874,24
000000042044,10
000000043611,2
000000043226,9
000000042069,11
000000043933,4
000000043393,79
000000044500,11
000000045479,10
000000044488,32
000000044523,1
000000046809,4
000000047898,17
000000044178,11
000000045840,5
000000048719,9
000000049095,13
000000046085,7
000000049175,3
000000049819,3
000000049369,2
000000047952,8
000000052086,7
000000052461,5
000000052827,5
000000050025,7
000000050204,13
000000050960,11
000000054335,3
000000054532,10
000000055873,29
000000053361,12
000000053587,18
000000057892,4
000000056193,4
000000059584,4
000000059252,22
000000058102,8
000000061831,4
000000058232,27
000000061409,10
000000061660,3
000000062017,1
000000061945,4
000000062543,12
000000061899,40
000000061951,18
000000065353,6
000000063676,9
000000063140,3
000000064342,12
000000065900,19
000000065518,18
000000067558,3
000000065955,19
000000067577,5
000000067207,12
000000066520,8
000000068003,11
000000067776,2
000000068381,3
000000069311,10
000000069587,7
000000069978,8
000000070288,6
000000070336,5
000000068866,20
000000070829,3
000000068235,13
000000071214,4
000000073016,8
000000070724,3
000000073634,5
000000070863,5
000000074060,3
000000072018,4
000000074407,26
000000073626,187
000000075522,1
000000074901,60
000000074127,19
000000075932,4
000000075982,6
000000076001,2
000000075270,13
000000080044,9
000000080892,8
000000075630,6
000000079992,12
000000081200,21
000000082275,10
000000082787,8
000000082957,15
000000083045,3
000000083507,1
000000081315,6
000000081826,6
000000084840,4
000000083716,6
000000084454,52
000000084881,1
000000085956,11
000000086139,2
000000084996,13
000000085187,20
000000085802,6
000000087249,30
000000087105,7
000000086292,65
000000088162,21
000000088540,25
000000087509,11
000000090255,7
000000091366,2
000000089725,81
000000091969,10
000000092219,4
000000090343,5
000000091948,19
000000092464,10
000000092847,18
000000093604,21
000000096070,2
000000095422,25
000000094103,16
000000094920,21
000000097270,2
000000097696,5
000000097365,8
000000097021,5
000000096582,9
000000099389,2
000000097873,5
000000100519,24
000000099443,4
000000097951,12
000000100959,8
000000098904,10
000000100827,48
000000100560,4
000000102056,9
000000102330,4
000000103697,2
000000101573,6
000000102037,60
000000103877,2
000000104211,4
000000102634,2
000000103746,14
000000103804,11
000000104594,4
000000105027,3
000000105468,3
000000104337,12
000000106043,9
000000105768,56
000000104756,16
000000106895,2
000000107216,1
000000106199,9
000000107519,7
000000106287,4
000000107797,16
000000106813,32
000000107516,18
000000108803,16
000000108862,2
000000109558,2
000000110642,7
000000110759,1
000000108701,30
000000111180,1
000000108392,141
000000111245,9
000000111824,1
000000108557,26
000000110794,32
000000113985,40
000000111591,197
000000113556,170
000000113898,10
000000116031,2
000000116601,2
000000116872,7
000000115973,3
000000118277,1
000000114173,5
000000118330,31
000000116155,33
000000118477,9
000000118748,1
000000118436,18
000000119414,5
000000118775,1
000000118471,5
000000117644,28
000000120509,2
000000120524,4
000000120380,7
000000119787,9
000000121349,9
000000121690,1
000000120285,20
000000121420,2
000000121112,8
000000121718,46
000000122357,6
000000122537,4
000000121693,4
000000124002,3
000000124390,2
000000122302,42
000000123330,5
000000124924,4
000000124627,30
000000126229,34
000000126230,17
000000123901,12
000000127153,11
000000127945,4
000000127235,10
000000128553,10
000000127259,18
000000127558,14
000000129699,4
000000129334,11
000000131364,48
000000130538,7
000000131084,12
000000131825,10
000000131902,18
000000132212,3
000000132612,6
000000131427,5
000000133237,2
000000131494,6
000000132621,7
000000134697,2
000000133486,16
000000132067,8
000000136493,3
000000133609,4
000000136683,27
000000135797,14
000000136415,26
000000140473,2
000000140507,3
000000137666,18
000000137301,14
000000141862,4
000000142680,3
000000143054,2
000000141587,16
000000140352,13
000000143578,4
000000143445,22
000000144983,2
000000143929,14
